url,previous_issues,latest_issues,score_delta,word_delta,internal_link_delta
https://www.morfrac.com/,,,0,-51,-6
https://www.morfrac.com/about,,,0,-51,-6
https://www.morfrac.com/become-a-morfrac-trade-partner,,,0,-51,-6
https://www.morfrac.com/blog,,,0,-51,-6
https://www.morfrac.com/blog/custom-6,,,0,-51,-6
https://www.morfrac.com/blog/custom-6/40000-times-its-weight-15,,,0,-51,-6
https://www.morfrac.com/blog/custom-6/colour-coded-sailing-blocks-12,,,0,-51,-6
https://www.morfrac.com/blog/custom-6/cunningham-furler-25,,,0,-51,-6
https://www.morfrac.com/blog/custom-6/pignose-titanium-24,,,0,-51,-6
https://www.morfrac.com/blog/news-1,,,0,-51,-6
https://www.morfrac.com/blog/news-1/2024-what-a-year-32,,,0,-51,-6
https://www.morfrac.com/blog/news-1/introducing-morfwing-31,,,0,-51,-6
https://www.morfrac.com/blog/news-1/mets-2024-17,,,0,-51,-6
https://www.morfrac.com/blog/news-1/morfrac-de-walle-sails-33,,,0,-51,-6
https://www.morfrac.com/blog/news-1/new-powerfurl-one-38,,,0,-51,-6
https://www.morfrac.com/blog/news-1/set-sail-with-morfrac-16,,,0,-51,-6
https://www.morfrac.com/blog/page/2,,,0,-51,-6
https://www.morfrac.com/blog/stories-4,,,0,-51,-6
https://www.morfrac.com/blog/stories-4/3d-printed-molds-10,,,0,-51,-6
https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,,,0,-51,-6
https://www.morfrac.com/blog/tag/custom-9,,,0,-51,-6
https://www.morfrac.com/blog/tag/events-12,,,0,-51,-6
https://www.morfrac.com/blog/tag/manufacturing-8,,,0,-51,-6
https://www.morfrac.com/blog/tag/materials-14,,,0,-51,-6
https://www.morfrac.com/blog/tag/media-5,,,0,-51,-6
https://www.morfrac.com/blog/tag/morfblock-1,,,0,-51,-6
https://www.morfrac.com/blog/tag/morfrac-network-10,,,0,-51,-6
https://www.morfrac.com/blog/tag/morfwing-13,,,0,-51,-6
https://www.morfrac.com/blog/tag/news-2,,,0,-51,-6
https://www.morfrac.com/blog/tag/on-board-6,,,0,-51,-6
https://www.morfrac.com/blog/tag/partners-11,,,0,-51,-6
https://www.morfrac.com/blog/tag/powerfurl-4,,,0,-51,-6
https://www.morfrac.com/blog/tag/shows-exhibitions-3,,,0,-51,-6
https://www.morfrac.com/contactus,,,0,-51,-6
https://www.morfrac.com/custom,,,0,-51,-6
https://www.morfrac.com/dogbone,,,0,-51,-6
https://www.morfrac.com/morfblock,,,0,-51,-6
https://www.morfrac.com/morfring,,,0,-51,-6
https://www.morfrac.com/padeye,,,0,-51,-6
https://www.morfrac.com/partner,,,0,-51,-6
https://www.morfrac.com/powerfurl,,,0,-51,-6
https://www.morfrac.com/shackle,,,0,-51,-6
https://www.morfrac.com/shop,,,0,-51,-6
https://www.morfrac.com/shop/category/custom-33,,,0,-51,-6
https://www.morfrac.com/shop/category/dogbone-25,,,0,-51,-6
https://www.morfrac.com/shop/category/dogbone-dogbone-al-28,,,0,-51,-6
https://www.morfrac.com/shop/category/dogbone-dogbone-ti-29,,,0,-51,-6
https://www.morfrac.com/shop/category/mainsail-systems-39,,,0,-51,-6
https://www.morfrac.com/shop/category/mloop-34,,,0,-51,-6
https://www.morfrac.com/shop/category/morfblock-17,,,0,-51,-6
https://www.morfrac.com/shop/category/morfblock-17/page/2,,,0,-51,-6
https://www.morfrac.com/shop/category/morfblock-17/page/3,,,0,-51,-6
https://www.morfrac.com/shop/category/morfblock-max-38,,,0,-51,-6
https://www.morfrac.com/shop/category/morfblock-morfblock-light-18,,,0,-51,-6
https://www.morfrac.com/shop/category/morfblock-morfblock-snatch-19,,,0,-51,-6
https://www.morfrac.com/shop/category/morfblock-morfblock-ultra-38,,,0,-51,-6
https://www.morfrac.com/shop/category/morfblock-morfblock-wood-20,,,0,-51,-6
https://www.morfrac.com/shop/category/morfblock-morfblock-xl-21,,,0,-51,-6
https://www.morfrac.com/shop/category/morfring-26,,,0,-51,-6
https://www.morfrac.com/shop/category/mreel-35,,,0,-51,-6
https://www.morfrac.com/shop/category/outlet-36,,,0,-51,-6
https://www.morfrac.com/shop/category/padeye-27,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-1,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-1/page/2,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-1/page/3,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-1/page/4,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-1/page/5,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-continuous-line-31,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-eight-10,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-four-11,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-one-12,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-six-13,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-ten-14,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-three-15,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-continuous-line-powerfurl-twelve-16,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-powerfurl-singleline-30,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-single-line-30,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-tdi-22,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-tdi-s-23,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-tdis-23,,,0,-51,-6
https://www.morfrac.com/shop/category/powerfurl-underdeck-32,,,0,-51,-6
https://www.morfrac.com/shop/category/shackle-24,,,0,-51,-6
https://www.morfrac.com/shop/category/ti-shackle-24,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-25-7-aluminium-12460,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-aluminium-12461,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-40-12-titanium-12462,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-45-19-aluminium-12463,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-aluminium-12464,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-titanium-12465,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-aluminium-12466,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-titanium-12646,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-60-23-aluminium-12467,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-65-24-aluminium-12469,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-70-26-titanium-12673,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-large-titanium-12821,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-medium-titanium-12820,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-25/dogbone-flat-faced-small-titanium-12819,,,0,-51,-6
https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467,,,0,-51,-6
https://www.morfrac.com/shop/dogbone60-23-12467,,,0,-51,-6
https://www.morfrac.com/shop/mloop-34/mloop-custom-12674,,,0,-51,-6
https://www.morfrac.com/shop/mloop-34/mloop-dyneema-loop-12675,,,0,-51,-6
https://www.morfrac.com/shop/mloop-dyneema-loop-12675,,,0,-51,-6
https://www.morfrac.com/shop/morfblock-17/morfblock-light-0-5-sailing-block-12322,,,0,-51,-6
