priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
HIGH,dogbone,https://www.morfrac.com/dogbone,108.0,0.93,2.0,1.0699999999999998,9.12,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. Position the page as an authority landing page and product gateway.,115
HIGH,dogbone,https://www.morfrac.com/es/dogbone,80.0,0.0,3.0,3.0,7.78,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,115
HIGH,dog bone shackle,https://www.morfrac.com/dogbone,30.0,0.0,2.0,2.0,9.37,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dogbones,https://www.morfrac.com/es/dogbone,28.0,0.0,2.5,2.5,8.14,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dogbone shackle,https://www.morfrac.com/dogbone,14.0,0.0,3.0,3.0,7.79,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,padeyes,https://www.morfrac.com/padeye,184.0,0.54,0.8,0.26,15.7,commercial,landing,18.0,133.0,,short_title,Primary query: padeyes Page type: landing Intent: commercial High existing visibility; improve click capture. Position the page as an authority landing page and product gateway.,95
HIGH,dogbones,https://www.morfrac.com/dogbone,43.0,0.0,1.0,1.0,10.44,commercial,landing,19.0,134.0,,short_title,Primary query: dogbones Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,95
HIGH,deck pad eye,https://www.morfrac.com/padeye,15.0,0.0,2.5,2.5,8.93,commercial,landing,18.0,133.0,,serp_ctr_gap; short_title,Primary query: deck pad eye Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,custom shackles,https://www.morfrac.com/shackle,15.0,0.0,2.0,2.0,9.67,commercial,landing,22.0,127.0,,serp_ctr_gap; short_title,Primary query: custom shackles Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dog bone soft shackle,https://www.morfrac.com/dogbone,6.0,0.0,2.0,2.0,9.17,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone soft shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
