priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
CRITICAL,mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,125.0,0.0,3.5,3.5,6.73,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: mloop Page type: product Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",130
CRITICAL,dogbone,https://www.morfrac.com/dogbone,110.0,0.91,3.0,2.09,7.5,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,125
CRITICAL,dogbone,https://www.morfrac.com/es/dogbone,104.0,0.96,3.5,2.54,6.47,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,125
HIGH,mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,37.0,0.0,3.0,3.0,7.3,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: mloop Page type: product Intent: commercial CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",110
HIGH,deck pad eye,https://www.morfrac.com/padeye,20.0,0.0,5.0,5.0,4.05,commercial,landing,18.0,133.0,,serp_ctr_gap; short_title,Primary query: deck pad eye Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dogbone sailing,https://www.morfrac.com/dogbone,9.0,0.0,3.0,3.0,7.44,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone sailing Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone shackle,https://www.morfrac.com/dogbone,7.0,0.0,3.5,3.5,7.0,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dogbone shackle,https://www.morfrac.com/dogbone,6.0,0.0,3.5,3.5,6.33,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,25.0,0.0,2.0,2.0,9.24,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: m loop Page type: product Intent: commercial CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",100
HIGH,dogbones,https://www.morfrac.com/dogbone,34.0,0.0,1.0,1.0,13.68,commercial,landing,19.0,134.0,,short_title,Primary query: dogbones Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,95
HIGH,dog bone soft shackle,https://www.morfrac.com/dogbone,6.0,0.0,2.0,2.0,9.17,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone soft shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dog bone steel,https://www.morfrac.com/dogbone,5.0,0.0,2.5,2.5,8.2,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone steel Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dogbones,https://www.morfrac.com/es/dogbone,26.0,3.85,7.0,3.15,3.15,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,90
HIGH,70xl,https://www.morfrac.com/shop/morfring-70xl-ptfe-friction-ring-12484,7.0,0.0,1.0,1.0,13.57,product_code,product,0.0,0.0,,missing_meta; short_title,"Primary query: 70xl Page type: product Intent: product_code Emphasize product function, marine use case, and engineering reliability.",90
MEDIUM,dogbone carriers,https://www.morfrac.com/dogbone,17.0,0.0,1.0,1.0,13.18,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone carriers Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
MEDIUM,custom shackles,https://www.morfrac.com/shackle,13.0,0.0,1.0,1.0,10.54,commercial,landing,22.0,127.0,,short_title,Primary query: custom shackles Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
MEDIUM,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,10.0,0.0,1.0,1.0,10.2,commercial,blog,0.0,0.0,,missing_meta; short_title,"Primary query: farr x2 for sale Page type: blog Intent: commercial If query is commercial, consider linking to or creating a commercial landing page.",80
MEDIUM,dog bone rigging,https://www.morfrac.com/dogbone,16.0,12.5,5.0,-7.5,4.81,commercial,landing,19.0,134.0,,short_title,Primary query: dog bone rigging Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
MEDIUM,titanium shackle,https://www.morfrac.com/shackle,15.0,6.67,3.0,-3.67,7.33,commercial,landing,22.0,127.0,,short_title,Primary query: titanium shackle Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
MEDIUM,soft padeye,https://www.morfrac.com/padeye,8.0,12.5,1.0,-11.5,10.25,commercial,landing,18.0,133.0,,short_title,Primary query: soft padeye Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
LOW,dogbone joint,https://www.morfrac.com/dogbone,61.0,0.0,0.2,0.2,42.7,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone joint Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,60
LOW,aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,10.0,0.0,5.0,5.0,4.5,unknown,blog,82.0,230.0,,long_meta; long_title; serp_ctr_gap,"Primary query: aluminum vs titanium vs stainless steel Page type: blog Intent: unknown CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",50
LOW,conurban marine,https://www.morfrac.com/partner,6.0,0.0,2.5,2.5,8.83,unknown,other,32.0,94.0,,serp_ctr_gap,Primary query: conurban marine Page type: other Intent: unknown CTR is below expected for current ranking position.,45
LOW,aluminium vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,9.0,0.0,7.0,7.0,3.44,unknown,blog,82.0,230.0,,long_meta; long_title; serp_ctr_gap,"Primary query: aluminium vs stainless steel vs titanium Page type: blog Intent: unknown CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",25
