priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
CRITICAL,dogbone,https://www.morfrac.com/dogbone,232.0,0.0,3.0,3.0,7.23,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,135
CRITICAL,dogbone,https://www.morfrac.com/es/dogbone,122.0,0.0,3.0,3.0,7.43,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,135
HIGH,dogbones,https://www.morfrac.com/dogbone,93.0,0.0,2.0,2.0,9.72,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone shackle,https://www.morfrac.com/dogbone,10.0,0.0,4.0,4.0,6.0,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,deck pad eye,https://www.morfrac.com/padeye,8.0,0.0,4.0,4.0,5.75,commercial,landing,18.0,133.0,,serp_ctr_gap; short_title,Primary query: deck pad eye Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bones,https://www.morfrac.com/es/dogbone,6.0,0.0,3.5,3.5,6.67,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,26.0,0.0,2.0,2.0,9.31,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: m loop Page type: product Intent: commercial CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",100
HIGH,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,22.0,0.0,4.0,4.0,5.86,commercial,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: farr x2 for sale Page type: blog Intent: commercial CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",100
HIGH,dogbones,https://www.morfrac.com/es/dogbone,36.0,0.0,1.0,1.0,10.33,commercial,landing,19.0,134.0,,short_title,Primary query: dogbones Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,95
HIGH,kevlar dog bone,https://www.morfrac.com/dogbone,12.0,0.0,2.5,2.5,8.67,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: kevlar dog bone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dog bone sailing,https://www.morfrac.com/dogbone,9.0,0.0,2.5,2.5,8.11,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone sailing Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
