priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
HIGH,dogbone,https://www.morfrac.com/es/dogbone,86.0,0.0,3.0,3.0,7.66,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,115
HIGH,dogbone,https://www.morfrac.com/dogbone,129.0,1.55,2.0,0.4499999999999999,9.29,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. Position the page as an authority landing page and product gateway.,105
HIGH,dogbones,https://www.morfrac.com/dogbone,60.0,0.0,2.0,2.0,9.23,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,padeyes,https://www.morfrac.com/padeye,179.0,0.56,0.8,0.24,15.6,commercial,landing,18.0,133.0,,short_title,Primary query: padeyes Page type: landing Intent: commercial High existing visibility; improve click capture. Position the page as an authority landing page and product gateway.,95
HIGH,dog bone shackle,https://www.morfrac.com/dogbone,22.0,0.0,2.5,2.5,8.59,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dogbone shackle,https://www.morfrac.com/dogbone,12.0,0.0,2.5,2.5,8.5,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,custom shackles,https://www.morfrac.com/shackle,11.0,0.0,2.0,2.0,9.45,commercial,landing,22.0,127.0,,serp_ctr_gap; short_title,Primary query: custom shackles Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dog bone soft shackle,https://www.morfrac.com/dogbone,6.0,0.0,2.0,2.0,9.17,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone soft shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,41.0,0.0,1.0,1.0,12.24,commercial,product,44.0,158.0,,,"Primary query: m loop Page type: product Intent: commercial Emphasize product function, marine use case, and engineering reliability.",90
HIGH,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,21.0,0.0,2.0,2.0,9.57,commercial,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: farr x2 for sale Page type: blog Intent: commercial CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",90
HIGH,1.5t shackle,https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,5.0,0.0,2.0,2.0,9.8,commercial,product,55.0,152.0,,serp_ctr_gap,"Primary query: 1.5t shackle Page type: product Intent: commercial CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",90
MEDIUM,padeye,https://www.morfrac.com/padeye,68.0,1.47,1.0,-0.47,11.01,commercial,landing,18.0,133.0,,short_title,Primary query: padeye Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
MEDIUM,dogbone carriers,https://www.morfrac.com/dogbone,13.0,0.0,1.0,1.0,12.23,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone carriers Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
MEDIUM,deck pad eye,https://www.morfrac.com/padeye,12.0,0.0,1.0,1.0,10.5,commercial,landing,18.0,133.0,,short_title,Primary query: deck pad eye Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
MEDIUM,dog bone sailing,https://www.morfrac.com/dogbone,6.0,0.0,1.0,1.0,10.5,commercial,landing,19.0,134.0,,short_title,Primary query: dog bone sailing Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
MEDIUM,farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,11.0,0.0,1.0,1.0,12.73,commercial,blog,0.0,0.0,,missing_meta; short_title,"Primary query: farr x2 Page type: blog Intent: commercial If query is commercial, consider linking to or creating a commercial landing page.",80
MEDIUM,dog bone,https://www.morfrac.com/dogbone,6.0,0.0,15.0,15.0,1.33,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,80
MEDIUM,dogbones,https://www.morfrac.com/es/dogbone,43.0,0.0,0.8,0.8,15.51,commercial,landing,19.0,134.0,,short_title,Primary query: dogbones Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
MEDIUM,titanium shackle,https://www.morfrac.com/shackle,19.0,5.26,1.0,-4.26,10.11,commercial,landing,22.0,127.0,,short_title,Primary query: titanium shackle Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
MEDIUM,dog bone rigging,https://www.morfrac.com/dogbone,18.0,5.56,5.0,-0.5599999999999996,4.67,commercial,landing,19.0,134.0,,short_title,Primary query: dog bone rigging Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
MEDIUM,soft padeye,https://www.morfrac.com/padeye,13.0,7.69,1.0,-6.69,11.54,commercial,landing,18.0,133.0,,short_title,Primary query: soft padeye Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
MEDIUM,sailing dog bone,https://www.morfrac.com/dogbone,5.0,20.0,2.5,-17.5,8.6,commercial,landing,19.0,134.0,,short_title,Primary query: sailing dog bone Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
LOW,dogbone joint,https://www.morfrac.com/dogbone,47.0,0.0,0.4,0.4,38.68,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone joint Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,65
LOW,conurban marine,https://www.morfrac.com/partner,7.0,0.0,3.0,3.0,7.29,unknown,other,32.0,94.0,,serp_ctr_gap,Primary query: conurban marine Page type: other Intent: unknown CTR is below expected for current ranking position.,55
LOW,aluminum vs titanium vs stainless steel,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,17.0,0.0,5.0,5.0,4.29,unknown,blog,82.0,230.0,,long_meta; long_title; serp_ctr_gap,"Primary query: aluminum vs titanium vs stainless steel Page type: blog Intent: unknown CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",50
LOW,aluminum vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,26.0,3.85,4.0,0.1499999999999999,5.23,unknown,blog,82.0,230.0,,long_meta; long_title,"Primary query: aluminum vs stainless steel vs titanium Page type: blog Intent: unknown If query is commercial, consider linking to or creating a commercial landing page.",30
LOW,aluminium vs stainless steel vs titanium,https://www.morfrac.com/blog/stories-4/aluminium-titanium-stainless-steel-39,7.0,0.0,7.0,7.0,3.57,unknown,blog,82.0,230.0,,long_meta; long_title; serp_ctr_gap,"Primary query: aluminium vs stainless steel vs titanium Page type: blog Intent: unknown CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",25
