priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
CRITICAL,dogbone,https://www.morfrac.com/dogbone,255.0,0.0,3.5,3.5,6.95,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,135
CRITICAL,dogbone,https://www.morfrac.com/es/dogbone,131.0,0.0,3.0,3.0,7.02,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,135
HIGH,dogbones,https://www.morfrac.com/dogbone,93.0,0.0,4.0,4.0,5.76,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,115
HIGH,dog bone,https://www.morfrac.com/dogbone,135.0,0.0,15.0,15.0,1.04,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,110
HIGH,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,31.0,0.0,3.0,3.0,7.32,commercial,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: farr x2 for sale Page type: blog Intent: commercial CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",110
HIGH,dog bone rigging,https://www.morfrac.com/dogbone,11.0,0.0,5.0,5.0,4.09,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone rigging Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,deck pad eye,https://www.morfrac.com/padeye,8.0,0.0,4.0,4.0,5.75,commercial,landing,18.0,133.0,,serp_ctr_gap; short_title,Primary query: deck pad eye Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dogbone shackle,https://www.morfrac.com/dogbone,8.0,0.0,3.5,3.5,7.0,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bones,https://www.morfrac.com/es/dogbone,6.0,0.0,5.0,5.0,4.17,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,kevlar dog bone,https://www.morfrac.com/dogbone,21.0,0.0,2.5,2.5,8.1,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: kevlar dog bone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
