priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
CRITICAL,mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,168.0,0.0,3.0,3.0,7.67,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: mloop Page type: product Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",130
CRITICAL,mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,122.0,0.0,4.0,4.0,5.94,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: mloop Page type: product Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",130
CRITICAL,dogbone,https://www.morfrac.com/dogbone,118.0,0.0,2.5,2.5,8.69,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,125
HIGH,dogbone,https://www.morfrac.com/es/dogbone,56.0,0.0,2.5,2.5,8.27,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bones,https://www.morfrac.com/es/dogbone,10.0,0.0,5.0,5.0,4.9,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone shackle,https://www.morfrac.com/dogbone,9.0,0.0,4.0,4.0,6.0,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone steel,https://www.morfrac.com/dogbone,9.0,0.0,3.5,3.5,6.22,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone steel Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dogbone shackle,https://www.morfrac.com/dogbone,7.0,0.0,4.0,4.0,5.57,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dogbone sailing,https://www.morfrac.com/dogbone,7.0,0.0,3.0,3.0,7.86,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone sailing Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone sailing,https://www.morfrac.com/dogbone,5.0,0.0,3.5,3.5,6.8,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone sailing Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,21.0,0.0,4.0,4.0,5.29,commercial,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: farr x2 for sale Page type: blog Intent: commercial CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",100
HIGH,dogbones,https://www.morfrac.com/dogbone,106.0,0.94,0.6,-0.3399999999999999,20.83,commercial,landing,19.0,134.0,,short_title,Primary query: dogbones Page type: landing Intent: commercial High existing visibility; improve click capture. Position the page as an authority landing page and product gateway.,95
HIGH,cancamo pasante,https://www.morfrac.com/es/padeye,8.0,0.0,2.5,2.5,8.75,commercial,landing,18.0,133.0,,serp_ctr_gap; short_title,Primary query: cancamo pasante Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,48.0,2.08,3.5,1.42,6.83,commercial,blog,0.0,0.0,,missing_meta; short_title,"Primary query: farr x2 Page type: blog Intent: commercial If query is commercial, consider linking to or creating a commercial landing page.",90
MEDIUM,dog bone connection,https://www.morfrac.com/dogbone,6.0,0.0,1.0,1.0,10.83,commercial,landing,19.0,134.0,,short_title,Primary query: dog bone connection Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
MEDIUM,dog bone rigging,https://www.morfrac.com/dogbone,7.0,0.0,10.0,10.0,3.0,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone rigging Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,80
MEDIUM,dogbones,https://www.morfrac.com/es/dogbone,34.0,0.0,0.8,0.8,19.88,commercial,landing,19.0,134.0,,short_title,Primary query: dogbones Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
MEDIUM,mor 004,https://www.morfrac.com/shop/morfblock-light-4-p-12338,7.0,0.0,1.0,1.0,12.57,product_code,product,73.0,109.0,,long_title,"Primary query: mor 004 Page type: product Intent: product_code Emphasize product function, marine use case, and engineering reliability.",70
LOW,sailing dogbone,https://www.morfrac.com/dogbone,44.0,2.27,0.6,-1.67,28.34,commercial,landing,19.0,134.0,,short_title,Primary query: sailing dogbone Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,65
LOW,dogbone joint,https://www.morfrac.com/dogbone,41.0,0.0,0.2,0.2,84.61,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone joint Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,60
LOW,helice de proa,https://www.morfrac.com/es/blog/historias-4/helice-de-proa-9,31.0,0.0,7.0,7.0,3.42,unknown,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: helice de proa Page type: blog Intent: unknown CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",55
LOW,helices de proa,https://www.morfrac.com/es/blog/historias-4/helice-de-proa-9,8.0,0.0,10.0,10.0,2.12,unknown,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: helices de proa Page type: blog Intent: unknown CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",45
