priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
HIGH,dogbone,https://www.morfrac.com/dogbone,184.0,1.09,2.5,1.41,8.62,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. Position the page as an authority landing page and product gateway.,115
HIGH,dogbones,https://www.morfrac.com/dogbone,65.0,0.0,2.5,2.5,8.4,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone,https://www.morfrac.com/es/dogbone,6.0,0.0,3.5,3.5,6.5,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,padeyes,https://www.morfrac.com/padeye,150.0,0.67,0.8,0.13,18.27,commercial,landing,18.0,133.0,,short_title,Primary query: padeyes Page type: landing Intent: commercial High existing visibility; improve click capture. Position the page as an authority landing page and product gateway.,95
HIGH,dog bone shackle,https://www.morfrac.com/dogbone,18.0,0.0,2.5,2.5,8.83,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dogbone shackle,https://www.morfrac.com/dogbone,12.0,0.0,2.5,2.5,8.5,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,34.0,0.0,1.0,1.0,14.0,commercial,product,44.0,158.0,,,"Primary query: m loop Page type: product Intent: commercial Emphasize product function, marine use case, and engineering reliability.",90
HIGH,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,24.0,0.0,2.0,2.0,9.54,commercial,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: farr x2 for sale Page type: blog Intent: commercial CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",90
HIGH,1.5t shackle,https://www.morfrac.com/shop/ti-shackle-grade5-titanium-shackle-12526,5.0,0.0,2.0,2.0,9.8,commercial,product,55.0,152.0,,serp_ctr_gap,"Primary query: 1.5t shackle Page type: product Intent: commercial CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",90
MEDIUM,dogbone,https://www.morfrac.com/es/dogbone,85.0,2.35,3.0,0.6499999999999999,7.53,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,85
