priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
CRITICAL,dogbone,https://www.morfrac.com/dogbone,244.0,0.0,3.0,3.0,7.66,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,135
HIGH,dogbone,https://www.morfrac.com/es/dogbone,123.0,2.44,3.5,1.06,6.99,commercial,landing,19.0,134.0,,short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. Position the page as an authority landing page and product gateway.,115
HIGH,dogbones,https://www.morfrac.com/dogbone,43.0,0.0,3.5,3.5,6.21,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,115
HIGH,dog bone,https://www.morfrac.com/dogbone,23.0,0.0,5.0,5.0,4.13,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone,https://www.morfrac.com/es/dogbone,21.0,0.0,3.0,3.0,7.76,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone rigging,https://www.morfrac.com/dogbone,14.0,0.0,4.0,4.0,5.5,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone rigging Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dogbone rigging,https://www.morfrac.com/dogbone,11.0,0.0,3.5,3.5,6.18,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone rigging Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,deck pad eye,https://www.morfrac.com/padeye,7.0,0.0,7.0,7.0,4.0,commercial,landing,18.0,133.0,,serp_ctr_gap; short_title,Primary query: deck pad eye Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,36.0,0.0,2.5,2.5,8.44,commercial,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: farr x2 Page type: blog Intent: commercial CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",100
HIGH,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,28.0,0.0,2.0,2.0,9.68,commercial,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: farr x2 for sale Page type: blog Intent: commercial CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",100
