priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
CRITICAL,mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,181.0,0.0,3.0,3.0,7.4,commercial,product,44.0,158.0,Multiple H1; Images missing alt text,serp_ctr_gap,"Primary query: mloop Page type: product Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",134.0
CRITICAL,mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,124.0,0.0,4.0,4.0,5.85,commercial,product,44.0,158.0,Multiple H1; Images missing alt text,serp_ctr_gap,"Primary query: mloop Page type: product Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",134.0
CRITICAL,dogbone,https://www.morfrac.com/dogbone,117.0,0.0,2.5,2.5,8.38,commercial,landing,19.0,134.0,Short title; Multiple H1; Images missing alt text,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Title is too short; expand with commercial/search intent. Position the page as an authority landing page and product gateway.,131.0
HIGH,dogbone,https://www.morfrac.com/es/dogbone,52.0,0.0,2.5,2.5,8.12,commercial,landing,19.0,134.0,Short title; Multiple H1; Images missing alt text,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial CTR is below expected for current ranking position. Title is too short; expand with commercial/search intent. Position the page as an authority landing page and product gateway.,111.0
HIGH,dog bones,https://www.morfrac.com/es/dogbone,9.0,0.0,5.0,5.0,4.22,commercial,landing,19.0,134.0,Short title; Multiple H1; Images missing alt text,serp_ctr_gap; short_title,Primary query: dog bones Page type: landing Intent: commercial CTR is below expected for current ranking position. Title is too short; expand with commercial/search intent. Position the page as an authority landing page and product gateway.,111.0
HIGH,dog bone shackle,https://www.morfrac.com/dogbone,9.0,0.0,3.5,3.5,6.11,commercial,landing,19.0,134.0,Short title; Multiple H1; Images missing alt text,serp_ctr_gap; short_title,Primary query: dog bone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Title is too short; expand with commercial/search intent. Position the page as an authority landing page and product gateway.,111.0
HIGH,dog bone steel,https://www.morfrac.com/dogbone,8.0,0.0,4.0,4.0,5.88,commercial,landing,19.0,134.0,Short title; Multiple H1; Images missing alt text,serp_ctr_gap; short_title,Primary query: dog bone steel Page type: landing Intent: commercial CTR is below expected for current ranking position. Title is too short; expand with commercial/search intent. Position the page as an authority landing page and product gateway.,111.0
HIGH,dogbone sailing,https://www.morfrac.com/dogbone,8.0,0.0,3.0,3.0,8.0,commercial,landing,19.0,134.0,Short title; Multiple H1; Images missing alt text,serp_ctr_gap; short_title,Primary query: dogbone sailing Page type: landing Intent: commercial CTR is below expected for current ranking position. Title is too short; expand with commercial/search intent. Position the page as an authority landing page and product gateway.,111.0
HIGH,dogbone shackle,https://www.morfrac.com/dogbone,7.0,0.0,4.0,4.0,5.57,commercial,landing,19.0,134.0,Short title; Multiple H1; Images missing alt text,serp_ctr_gap; short_title,Primary query: dogbone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Title is too short; expand with commercial/search intent. Position the page as an authority landing page and product gateway.,111.0
HIGH,dog bone sailing,https://www.morfrac.com/dogbone,6.0,0.0,3.5,3.5,6.5,commercial,landing,19.0,134.0,Short title; Multiple H1; Images missing alt text,serp_ctr_gap; short_title,Primary query: dog bone sailing Page type: landing Intent: commercial CTR is below expected for current ranking position. Title is too short; expand with commercial/search intent. Position the page as an authority landing page and product gateway.,111.0
