priority,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,title_length,meta_description_length,issues,metadata_need,copy_brief,opportunity_score
CRITICAL,dogbone,https://www.morfrac.com/dogbone,180.0,0.0,3.0,3.0,7.29,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,135
CRITICAL,dogbone,https://www.morfrac.com/es/dogbone,106.0,0.0,3.0,3.0,7.75,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone Page type: landing Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,135
CRITICAL,mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,137.0,0.0,3.5,3.5,6.03,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: mloop Page type: product Intent: commercial High existing visibility; improve click capture. CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",130
HIGH,mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,96.0,0.0,3.0,3.0,7.89,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: mloop Page type: product Intent: commercial CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",110
HIGH,dog bone rigging,https://www.morfrac.com/dogbone,13.0,0.0,5.0,5.0,4.15,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone rigging Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone shackle,https://www.morfrac.com/dogbone,9.0,0.0,4.0,4.0,6.0,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bones,https://www.morfrac.com/es/dogbone,8.0,0.0,3.5,3.5,6.62,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bones Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,dog bone sailing,https://www.morfrac.com/dogbone,6.0,0.0,3.0,3.0,7.17,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone sailing Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,105
HIGH,m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,29.0,0.0,2.0,2.0,9.28,commercial,product,44.0,158.0,,serp_ctr_gap,"Primary query: m loop Page type: product Intent: commercial CTR is below expected for current ranking position. Emphasize product function, marine use case, and engineering reliability.",100
HIGH,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,23.0,0.0,4.0,4.0,5.87,commercial,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: farr x2 for sale Page type: blog Intent: commercial CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",100
HIGH,dogbones,https://www.morfrac.com/dogbone,88.0,0.0,1.0,1.0,13.38,commercial,landing,19.0,134.0,,short_title,Primary query: dogbones Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,95
HIGH,dogbones,https://www.morfrac.com/es/dogbone,35.0,0.0,1.0,1.0,13.94,commercial,landing,19.0,134.0,,short_title,Primary query: dogbones Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,95
HIGH,dog bone soft shackle,https://www.morfrac.com/dogbone,10.0,0.0,2.5,2.5,8.4,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone soft shackle Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dog bone,https://www.morfrac.com/es/dogbone,9.0,0.0,2.0,2.0,9.44,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,kevlar dog bone,https://www.morfrac.com/dogbone,8.0,0.0,2.5,2.5,9.0,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: kevlar dog bone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,cancamo pasante,https://www.morfrac.com/es/padeye,6.0,0.0,2.5,2.5,8.83,commercial,landing,18.0,133.0,,serp_ctr_gap; short_title,Primary query: cancamo pasante Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dogbone sailing,https://www.morfrac.com/dogbone,5.0,0.0,2.5,2.5,8.8,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dogbone sailing Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,95
HIGH,dog bone,https://www.morfrac.com/dogbone,81.0,0.0,15.0,15.0,1.07,commercial,landing,19.0,134.0,,serp_ctr_gap; short_title,Primary query: dog bone Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,90
HIGH,farr performance,https://www.morfrac.com/blog/news-1/farr-x2-5,7.0,0.0,2.0,2.0,9.14,commercial,blog,0.0,0.0,,missing_meta; serp_ctr_gap; short_title,"Primary query: farr performance Page type: blog Intent: commercial CTR is below expected for current ranking position. If query is commercial, consider linking to or creating a commercial landing page.",90
MEDIUM,farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,55.0,3.64,3.0,-0.6400000000000001,7.89,commercial,blog,0.0,0.0,,missing_meta; short_title,"Primary query: farr x2 Page type: blog Intent: commercial If query is commercial, consider linking to or creating a commercial landing page.",80
MEDIUM,deck pad eye,https://www.morfrac.com/padeye,6.0,0.0,7.0,7.0,3.17,commercial,landing,18.0,133.0,,serp_ctr_gap; short_title,Primary query: deck pad eye Page type: landing Intent: commercial CTR is below expected for current ranking position. Position the page as an authority landing page and product gateway.,80
MEDIUM,sailing dogbone,https://www.morfrac.com/dogbone,47.0,2.13,0.6,-1.5299999999999998,22.43,commercial,landing,19.0,134.0,,short_title,Primary query: sailing dogbone Page type: landing Intent: commercial Position the page as an authority landing page and product gateway.,75
