source_url,source_title,target_url,target_title,relevance_score,suggested_anchor_keywords
https://www.morfrac.com/shop/mloop-dyneema-loop-12675,mloop.[one] - High-performance Dyneema® loop,https://www.morfrac.com/shop/mloop-34/mloop-custom-12674,Custom Dyneema Loop | MORFRAC,9,"dyneema, mloop, loop"
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,mloop.[one] - High-performance Dyneema® loop,https://www.morfrac.com/es/shop/mloop-34/mloop-custom-12674,Custom Dyneema Loop | MORFRAC,9,"dyneema, mloop, loop"
https://www.morfrac.com/shop/dogbone60-23-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,12,"length, aluminium, 11mm, 60mm, dogbone, 60-23"
https://www.morfrac.com/shop/dogbone60-23-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,https://www.morfrac.com/shop/dogbone-25/dogbone-60-23-aluminium-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,12,"length, aluminium, 11mm, 60mm, dogbone, 60-23"
https://www.morfrac.com/shop/dogbone60-23-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,https://www.morfrac.com/shop/dogbone-25/dogbone-50-15-aluminium-12464,MORFRAC dogbone. - Aluminium Ø11mm | 50mm Length | MORFRAC,10,"11mm, length, dogbone, aluminium"
https://www.morfrac.com/shop/dogbone60-23-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,https://www.morfrac.com/shop/dogbone-25/dogbone-60-19-aluminium-12466,MORFRAC dogbone. - Aluminium Ø13mm | 60mm Length | MORFRAC,10,"60mm, length, dogbone, aluminium"
https://www.morfrac.com/shop/dogbone60-23-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,https://www.morfrac.com/shop/dogbone-25/dogbone-25-7-aluminium-12460,MORFRAC dogbone. - Aluminium Ø7mm | 25mm Length | MORFRAC,9,"length, dogbone, aluminium"
https://www.morfrac.com/es/shop/dogbone60-23-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,12,"length, aluminium, 11mm, 60mm, dogbone, 60-23"
https://www.morfrac.com/es/shop/dogbone60-23-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-23-aluminium-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,12,"length, aluminium, 11mm, 60mm, dogbone, 60-23"
https://www.morfrac.com/es/shop/dogbone60-23-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,https://www.morfrac.com/es/shop/dogbone-dogbone-al-28/dogbone-60-23-aluminium-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,12,"length, aluminium, 11mm, 60mm, dogbone, 60-23"
https://www.morfrac.com/es/shop/dogbone60-23-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,https://www.morfrac.com/es/shop/dogbone-25/dogbone-50-15-aluminium-12464,MORFRAC dogbone. - Aluminium Ø11mm | 50mm Length | MORFRAC,10,"11mm, length, dogbone, aluminium"
https://www.morfrac.com/es/shop/dogbone60-23-12467,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,https://www.morfrac.com/es/shop/dogbone-25/dogbone-60-19-aluminium-12466,MORFRAC dogbone. - Aluminium Ø13mm | 60mm Length | MORFRAC,10,"60mm, length, dogbone, aluminium"
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,D-Shackle | MORFRAC OUTLET | Best Online Deal,https://www.morfrac.com/es/shop/outlet-36/shackle-17-4ph-12827,D-Shackle | MORFRAC OUTLET | Best Online Deal,11,"shackle, online, d-shackle, deal, outlet"
