authority_cluster,pages,avg_inbound_links,total_inbound_links,avg_graph_score,high_priority_pages,total_search_impressions,max_opportunity_score
powerfurl,123,19.682926829268293,2421.0,127.01626016260163,117,5.0,52.0
morfblock,113,15.274336283185841,1726.0,131.23893805309734,109,0.0,0.0
dogbone,60,20.6,1236.0,138.16666666666666,60,824.0,135.0
morfring,31,31.161290322580644,966.0,128.8709677419355,29,0.0,0.0
shackle,28,37.964285714285715,1063.0,129.21428571428572,26,5.0,80.0
padeye,22,42.86363636363637,943.0,128.54545454545453,21,8.0,105.0
other,64,133.0,8512.0,54.625,15,27.0,10.0
mloop,8,15.125,121.0,138.125,8,25.0,80.0
mreel,6,18.5,111.0,136.66666666666666,6,0.0,0.0
custom_engineering,36,48.30555555555556,1739.0,44.94444444444444,5,49.0,20.0
morfwing,8,66.25,530.0,71.0,2,7.0,65.0
hoistlock,1,2.0,2.0,145.0,1,0.0,0.0
