authority_cluster,pages,avg_inbound_links,total_inbound_links,avg_graph_score,high_priority_pages,total_search_impressions,max_opportunity_score
powerfurl,126,18.873015873015873,2378.0,127.3015873015873,120,0.0,0.0
morfblock,108,15.49074074074074,1673.0,132.96296296296296,103,0.0,0.0
dogbone,60,20.466666666666665,1228.0,138.16666666666666,60,400.0,115.0
morfring,31,31.161290322580644,966.0,128.8709677419355,29,0.0,0.0
shackle,28,37.82142857142857,1059.0,130.35714285714286,27,66.0,95.0
other,87,98.73563218390805,8590.0,52.94252873563219,21,70.0,55.0
padeye,20,46.7,934.0,134.5,20,284.0,95.0
mloop,8,14.625,117.0,138.125,8,42.0,90.0
mreel,6,17.833333333333332,107.0,136.66666666666666,6,0.0,0.0
custom_engineering,17,69.29411764705883,1178.0,63.588235294117645,4,22.0,15.0
morfwing,8,66.25,530.0,68.75,2,0.0,0.0
hoistlock,1,2.0,2.0,145.0,1,0.0,0.0
