authority_cluster,pages,avg_inbound_links,total_inbound_links,avg_graph_score,high_priority_pages,total_search_impressions,max_opportunity_score
powerfurl,126,18.849206349206348,2375.0,127.3015873015873,120,0.0,0.0
morfblock,108,15.453703703703704,1669.0,132.96296296296296,103,0.0,0.0
dogbone,60,20.4,1224.0,138.16666666666666,60,629.0,135.0
morfring,31,31.032258064516128,962.0,128.8709677419355,29,0.0,0.0
shackle,29,36.44827586206897,1057.0,130.6206896551724,28,50.0,75.0
other,86,99.43023255813954,8551.0,50.33720930232558,20,64.0,55.0
padeye,20,46.5,930.0,133.9,20,7.0,105.0
mloop,8,14.625,117.0,138.125,8,32.0,90.0
mreel,6,17.833333333333332,107.0,136.66666666666666,6,0.0,0.0
custom_engineering,17,69.05882352941177,1174.0,63.529411764705884,4,47.0,15.0
morfwing,8,66.0,528.0,68.75,2,0.0,0.0
hoistlock,1,2.0,2.0,145.0,1,0.0,0.0
