authority_cluster,pages,avg_inbound_links,total_inbound_links,avg_graph_score,high_priority_pages,total_search_impressions,max_opportunity_score
powerfurl,136,17.86764705882353,2430.0,128.60294117647058,130,0.0,0.0
morfblock,108,15.518518518518519,1676.0,132.96296296296296,103,0.0,0.0
dogbone,60,20.616666666666667,1237.0,138.16666666666666,60,429.0,125.0
shackle,30,35.733333333333334,1072.0,131.1,29,56.0,85.0
morfring,31,31.451612903225808,975.0,128.8709677419355,29,0.0,0.0
other,77,82.93506493506493,6386.0,55.883116883116884,21,48.0,50.0
padeye,20,47.15,943.0,133.4,20,17.0,80.0
mloop,8,14.625,117.0,146.875,8,174.0,130.0
mreel,6,17.833333333333332,107.0,136.66666666666666,6,0.0,0.0
custom_engineering,17,69.0,1173.0,62.64705882352941,4,0.0,0.0
hoistlock,1,2.0,2.0,145.0,1,0.0,0.0
morfwing,6,5.666666666666667,34.0,51.666666666666664,0,0.0,0.0
