authority_cluster,pages,avg_inbound_links,total_inbound_links,avg_graph_score,high_priority_pages,total_search_impressions,max_opportunity_score
powerfurl,128,18.6484375,2387.0,127.578125,122,0.0,0.0
morfblock,107,15.57943925233645,1667.0,133.55140186915887,103,0.0,0.0
dogbone,60,20.466666666666665,1228.0,138.16666666666666,60,698.0,135.0
morfring,31,31.161290322580644,966.0,128.8709677419355,29,0.0,0.0
shackle,29,36.58620689655172,1061.0,129.75862068965517,27,14.0,80.0
padeye,20,46.7,934.0,133.9,20,8.0,105.0
other,84,102.16666666666667,8582.0,49.333333333333336,17,24.0,45.0
mloop,8,14.625,117.0,146.875,8,189.0,130.0
mreel,6,17.833333333333332,107.0,136.66666666666666,6,0.0,0.0
custom_engineering,18,65.77777777777777,1184.0,64.72222222222223,4,72.0,20.0
morfwing,8,66.25,530.0,68.75,2,0.0,0.0
hoistlock,1,2.0,2.0,145.0,1,0.0,0.0
