url,page_type,business_priority,internal_link_count,issue_count,word_count,priority,authority_gap,crosslink_opportunities,recommended_actions,internal_link_opportunity_score
https://www.morfrac.com/shop/morfring-26/morfring-70-ptfe-friction-ring-12485,product,high,0,0,0,high,Weak internal authority support,Cross-link related ring sizes,Increase internal links; Add related product links,100
https://www.morfrac.com/es/shop/powerfurl-one-drum-bottom-furling-unit-12529,product,high,0,0,0,high,Weak internal authority support,Cross-link compatible furling components,Increase internal links; Add related product links,100
https://www.morfrac.com/shop/mloop-dyneema-loop-12675,product,high,36,0,305,high,,Cross-link loop sizing/configuration pages,Add related product links,65
https://www.morfrac.com/es/shop/powerfurl-almacenadores-sin-fin-31/powerfurl-one-drum-bottom-furling-unit-12529,product,high,43,0,412,high,,Cross-link compatible furling components,Add related product links,65
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/5,product,high,77,0,612,high,,Cross-link compatible furling components,Add related product links,65
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/4,product,high,80,0,627,high,,Cross-link compatible furling components,Add related product links,65
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/3,product,high,80,0,636,high,,Cross-link compatible furling components,Add related product links,65
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/2,product,high,80,0,646,high,,Cross-link compatible furling components,Add related product links,65
https://www.morfrac.com/es/shop/mreel-35/mreel-two-rope-reeler-12492,product,high,37,0,549,high,,,Add related product links,65
https://www.morfrac.com/es/shop/mreel-35/mreel-three-rope-reeler-12628,product,high,37,0,545,high,,,Add related product links,65
https://www.morfrac.com/es/morfwing,product,high,30,0,1638,high,,,Add related product links,65
https://www.morfrac.com/morfwing,product,high,30,0,1641,high,,,Add related product links,65
https://www.morfrac.com/padeye,product,high,28,0,1327,high,,,Add related product links,65
https://www.morfrac.com/powerfurl,product,high,32,0,1530,high,,Cross-link compatible furling components,Add related product links,65
https://www.morfrac.com/shop/category/powerfurl-1,product,high,80,0,581,high,,Cross-link compatible furling components,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-03-high-load-sailing-block-12380,product,high,38,0,643,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-03-performance-sailing-block-12382,product,high,38,0,641,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-05-titanium-sailing-block-12386,product,high,38,0,796,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-08-titanium-sailing-block-12390,product,high,38,0,474,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-10-titanium-sailing-block-12350,product,high,38,0,474,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-12-titanium-sailing-block-12354,product,high,38,0,459,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-15-titanium-sailing-block-12358,product,high,39,0,474,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/mreel-35/mreel-four-rope-reeler-12493,product,high,37,0,544,high,,,Add related product links,65
https://www.morfrac.com/es/shop/mreel-35/mreel-one-rope-reeler-12491,product,high,37,0,602,high,,,Add related product links,65
https://www.morfrac.com/es/morfblock,product,high,32,0,1421,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-wood-20/morfblock-wood-08-wooden-sailing-block-12388,product,high,36,0,303,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-wood-20/morfblock-wood-10-wooden-sailing-block-12348,product,high,36,0,303,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-wood-20/morfblock-wood-12-wooden-sailing-block-12352,product,high,36,0,303,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-wood-20/morfblock-wood-15-wooden-sailing-block-12356,product,high,36,0,303,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblcok-custom-runners-12664,product,high,36,0,301,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-01-high-load-sailing-block-12364,product,high,38,0,479,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-01-performance-sailing-block-12366,product,high,38,0,478,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-02-high-load-sailing-block-12372,product,high,38,0,467,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-xl-21/morfblock-xl-02-performance-sailing-block-12374,product,high,38,0,478,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/shop/category/dogbone-25,product,high,74,0,537,high,,Cross-link aluminium/titanium variants,Add related product links,65
https://www.morfrac.com/shop/category/mloop-34,product,high,62,0,411,high,,Cross-link loop sizing/configuration pages,Add related product links,65
https://www.morfrac.com/shop/category/morfblock-17,product,high,78,0,656,high,,Cross-link related morfblock size families,Add related product links,65
https://www.morfrac.com/shop/category/morfring-26,product,high,72,0,515,high,,Cross-link related ring sizes,Add related product links,65
https://www.morfrac.com/shop/category/padeye-27,product,high,68,0,474,high,,,Add related product links,65
https://www.morfrac.com/shop/category/shackle-24,product,high,64,0,444,high,,,Add related product links,65
https://www.morfrac.com/es/dogbone,product,high,28,0,804,high,,Cross-link aluminium/titanium variants,Add related product links,65
https://www.morfrac.com/shop/category/outlet-36,product,high,70,0,623,high,,,Add related product links,65
https://www.morfrac.com/es/shop/category/custom-33,product,high,66,0,447,high,,,Add related product links,65
https://www.morfrac.com/es/padeye,product,high,28,0,1474,high,,,Add related product links,65
https://www.morfrac.com/es/powerfurl,product,high,33,0,1649,high,,Cross-link compatible furling components,Add related product links,65
https://www.morfrac.com/es/shop/category/dogbone-25,product,high,74,0,567,high,,Cross-link aluminium/titanium variants,Add related product links,65
https://www.morfrac.com/es/shop/category/morfring-26,product,high,72,0,541,high,,Cross-link related ring sizes,Add related product links,65
https://www.morfrac.com/es/shop/category/padeye-27,product,high,68,0,492,high,,,Add related product links,65
https://www.morfrac.com/es/shop/category/powerfurl-1,product,high,80,0,615,high,,Cross-link compatible furling components,Add related product links,65
https://www.morfrac.com/es/shop/category/shackle-24,product,high,64,0,454,high,,,Add related product links,65
https://www.morfrac.com/es/shop/morfblock-morfblock-light-18/morfblock-light-06-high-load-sailing-block-12344,product,high,38,0,479,high,,Cross-link related morfblock size families,Add related product links,65
