source_entity_type,source_entity_name,target_entity_type,target_entity_name,relationship_type,relationship_count,total_relationship_weight
intent,commercial,intent,brand,product_links_to_parent,3633,7266
intent,commercial,intent,brand,general_internal_link,6373,6373
intent,brand,intent,commercial,product_links_to_parent,2993,5986
material,titanium,intent,brand,product_links_to_parent,2886,5772
engineering_concept,breaking_load,intent,brand,product_links_to_parent,2595,5190
material,titanium,intent,commercial,product_links_to_parent,2454,4908
application,sail_handling,intent,brand,product_links_to_parent,2399,4798
engineering_concept,breaking_load,intent,commercial,product_links_to_parent,2207,4414
engineering_concept,swl,intent,brand,product_links_to_parent,2111,4222
application,sail_handling,intent,commercial,product_links_to_parent,2041,4082
engineering_concept,lightweight,intent,brand,product_links_to_parent,1983,3966
engineering_concept,swl,intent,commercial,product_links_to_parent,1795,3590
intent,brand,intent,commercial,general_internal_link,3511,3511
intent,commercial,material,titanium,product_links_to_parent,1748,3496
material,titanium,intent,brand,general_internal_link,3414,3414
engineering_concept,breaking_load,intent,brand,general_internal_link,3409,3409
intent,brand,material,titanium,product_links_to_parent,1698,3396
engineering_concept,lightweight,intent,commercial,product_links_to_parent,1685,3370
application,low_friction_rigging,intent,brand,product_links_to_parent,1666,3332
engineering_concept,high_load,intent,brand,product_links_to_parent,1594,3188
intent,brand,application,custom_engineering,general_internal_link,3130,3130
intent,brand,material,titanium,general_internal_link,3020,3020
application,low_friction_rigging,intent,commercial,product_links_to_parent,1416,2832
intent,commercial,application,custom_engineering,general_internal_link,2746,2746
engineering_concept,high_load,intent,commercial,product_links_to_parent,1356,2712
intent,commercial,material,titanium,general_internal_link,2656,2656
intent,brand,engineering_concept,breaking_load,general_internal_link,2646,2646
application,rope_management,intent,brand,product_links_to_parent,1288,2576
application,sail_handling,intent,brand,general_internal_link,2547,2547
engineering_concept,breaking_load,material,titanium,product_links_to_parent,1244,2488
intent,commercial,engineering_concept,breaking_load,general_internal_link,2288,2288
application,sail_handling,material,titanium,product_links_to_parent,1142,2284
application,sheet_handling,intent,brand,product_links_to_parent,1137,2274
intent,commercial,engineering_concept,breaking_load,product_links_to_parent,1128,2256
intent,brand,application,low_friction_rigging,general_internal_link,2243,2243
product_family,powerfurl,intent,brand,product_links_to_parent,1114,2228
intent,brand,engineering_concept,breaking_load,product_links_to_parent,1095,2190
product_family,morfblock,intent,brand,product_links_to_parent,1095,2190
application,rope_management,intent,commercial,product_links_to_parent,1094,2188
engineering_concept,swl,material,titanium,product_links_to_parent,1008,2016
intent,commercial,application,low_friction_rigging,general_internal_link,2015,2015
product_family,powerfurl,intent,brand,general_internal_link,1970,1970
application,furling_systems,intent,brand,product_links_to_parent,978,1956
material,titanium,application,custom_engineering,general_internal_link,1943,1943
engineering_concept,lightweight,material,titanium,product_links_to_parent,970,1940
application,sheet_handling,intent,commercial,product_links_to_parent,969,1938
product_family,powerfurl,intent,commercial,product_links_to_parent,946,1892
product_family,morfblock,intent,commercial,product_links_to_parent,933,1866
application,low_friction_rigging,intent,brand,general_internal_link,1857,1857
engineering_concept,breaking_load,application,custom_engineering,general_internal_link,1853,1853
application,sheet_handling,intent,brand,general_internal_link,1824,1824
intent,brand,application,sail_handling,general_internal_link,1806,1806
material,titanium,engineering_concept,breaking_load,product_links_to_parent,893,1786
product_family,morfblock,intent,brand,general_internal_link,1758,1758
intent,brand,intent,technical,general_internal_link,1746,1746
engineering_concept,lightweight,intent,brand,general_internal_link,1735,1735
material,aluminium,intent,brand,product_links_to_parent,856,1712
intent,brand,product_family,powerfurl,general_internal_link,1684,1684
application,furling_systems,intent,commercial,product_links_to_parent,830,1660
intent,commercial,application,custom_engineering,product_links_to_parent,822,1644
intent,commercial,engineering_concept,customizable,product_links_to_parent,822,1644
intent,commercial,material,aluminium,product_links_to_parent,816,1632
application,deck_attachment,intent,brand,product_links_to_parent,812,1624
engineering_concept,swl,intent,brand,general_internal_link,1623,1623
application,low_friction_rigging,material,titanium,product_links_to_parent,811,1622
engineering_concept,breaking_load,material,titanium,general_internal_link,1591,1591
intent,brand,application,custom_engineering,product_links_to_parent,795,1590
intent,brand,engineering_concept,customizable,product_links_to_parent,795,1590
intent,commercial,application,sail_handling,general_internal_link,1584,1584
intent,brand,material,aluminium,product_links_to_parent,792,1584
intent,commercial,product_family,powerfurl,general_internal_link,1542,1542
intent,brand,engineering_concept,customizable,general_internal_link,1533,1533
engineering_concept,high_load,material,titanium,product_links_to_parent,763,1526
application,sail_handling,engineering_concept,breaking_load,product_links_to_parent,755,1510
