source_entity_type,source_entity_name,target_entity_type,target_entity_name,relationship_type,relationship_count,total_relationship_weight
intent,commercial,intent,brand,product_links_to_parent,3609,7218
intent,commercial,intent,brand,general_internal_link,6707,6707
intent,brand,intent,commercial,product_links_to_parent,2973,5946
material,titanium,intent,brand,product_links_to_parent,2875,5750
engineering_concept,breaking_load,intent,brand,product_links_to_parent,2613,5226
material,titanium,intent,commercial,product_links_to_parent,2445,4890
application,sail_handling,intent,brand,product_links_to_parent,2373,4746
engineering_concept,breaking_load,intent,commercial,product_links_to_parent,2223,4446
engineering_concept,swl,intent,brand,product_links_to_parent,2112,4224
application,sail_handling,intent,commercial,product_links_to_parent,2019,4038
engineering_concept,lightweight,intent,brand,product_links_to_parent,1997,3994
engineering_concept,breaking_load,intent,brand,general_internal_link,3673,3673
material,titanium,intent,brand,general_internal_link,3669,3669
engineering_concept,swl,intent,commercial,product_links_to_parent,1796,3592
intent,brand,application,custom_engineering,general_internal_link,3512,3512
intent,brand,intent,commercial,general_internal_link,3507,3507
intent,commercial,material,titanium,product_links_to_parent,1735,3470
intent,brand,material,titanium,general_internal_link,3405,3405
engineering_concept,lightweight,intent,commercial,product_links_to_parent,1697,3394
intent,brand,material,titanium,product_links_to_parent,1685,3370
application,low_friction_rigging,intent,brand,product_links_to_parent,1667,3334
engineering_concept,high_load,intent,brand,product_links_to_parent,1594,3188
intent,commercial,application,custom_engineering,general_internal_link,3087,3087
intent,commercial,material,titanium,general_internal_link,3000,3000
application,low_friction_rigging,intent,commercial,product_links_to_parent,1417,2834
application,sail_handling,intent,brand,general_internal_link,2731,2731
engineering_concept,high_load,intent,commercial,product_links_to_parent,1356,2712
intent,brand,engineering_concept,breaking_load,general_internal_link,2636,2636
intent,brand,application,low_friction_rigging,general_internal_link,2629,2629
application,rope_management,intent,brand,product_links_to_parent,1290,2580
engineering_concept,breaking_load,material,titanium,product_links_to_parent,1249,2498
intent,commercial,application,low_friction_rigging,general_internal_link,2360,2360
product_family,powerfurl,intent,brand,product_links_to_parent,1145,2290
intent,commercial,engineering_concept,breaking_load,general_internal_link,2278,2278
application,sheet_handling,intent,brand,product_links_to_parent,1137,2274
application,sail_handling,material,titanium,product_links_to_parent,1130,2260
intent,commercial,engineering_concept,breaking_load,product_links_to_parent,1120,2240
material,titanium,application,custom_engineering,general_internal_link,2201,2201
application,rope_management,intent,commercial,product_links_to_parent,1096,2192
product_family,morfblock,intent,brand,product_links_to_parent,1095,2190
intent,brand,engineering_concept,breaking_load,product_links_to_parent,1087,2174
intent,brand,intent,technical,general_internal_link,2134,2134
engineering_concept,breaking_load,application,custom_engineering,general_internal_link,2112,2112
product_family,powerfurl,intent,brand,general_internal_link,2105,2105
engineering_concept,swl,material,titanium,product_links_to_parent,1008,2016
application,low_friction_rigging,intent,brand,general_internal_link,1998,1998
application,furling_systems,intent,brand,product_links_to_parent,995,1990
engineering_concept,lightweight,material,titanium,product_links_to_parent,976,1952
product_family,powerfurl,intent,commercial,product_links_to_parent,973,1946
application,sheet_handling,intent,commercial,product_links_to_parent,969,1938
application,sheet_handling,intent,brand,general_internal_link,1934,1934
engineering_concept,lightweight,intent,brand,general_internal_link,1902,1902
product_family,morfblock,intent,commercial,product_links_to_parent,933,1866
product_family,morfblock,intent,brand,general_internal_link,1863,1863
engineering_concept,breaking_load,material,titanium,general_internal_link,1850,1850
intent,commercial,intent,technical,general_internal_link,1819,1819
intent,brand,application,sail_handling,general_internal_link,1798,1798
engineering_concept,swl,intent,brand,general_internal_link,1784,1784
material,titanium,engineering_concept,breaking_load,product_links_to_parent,889,1778
application,furling_systems,intent,commercial,product_links_to_parent,845,1690
intent,brand,product_family,powerfurl,general_internal_link,1678,1678
material,titanium,application,low_friction_rigging,general_internal_link,1670,1670
application,sail_handling,application,custom_engineering,general_internal_link,1661,1661
intent,commercial,application,custom_engineering,product_links_to_parent,816,1632
intent,commercial,engineering_concept,customizable,product_links_to_parent,816,1632
application,low_friction_rigging,material,titanium,product_links_to_parent,810,1620
intent,commercial,material,aluminium,product_links_to_parent,810,1620
engineering_concept,breaking_load,application,low_friction_rigging,general_internal_link,1606,1606
material,aluminium,intent,brand,product_links_to_parent,801,1602
application,deck_attachment,intent,brand,product_links_to_parent,798,1596
intent,brand,application,custom_engineering,product_links_to_parent,789,1578
intent,brand,engineering_concept,customizable,product_links_to_parent,789,1578
intent,commercial,application,sail_handling,general_internal_link,1576,1576
intent,brand,material,aluminium,product_links_to_parent,786,1572
intent,commercial,product_family,powerfurl,general_internal_link,1536,1536
intent,brand,engineering_concept,customizable,general_internal_link,1527,1527
engineering_concept,high_load,material,titanium,product_links_to_parent,763,1526
intent,brand,application,rope_management,general_internal_link,1501,1501
application,sail_handling,engineering_concept,breaking_load,product_links_to_parent,747,1494
intent,brand,application,sheet_handling,general_internal_link,1487,1487
application,rope_management,intent,brand,general_internal_link,1472,1472
intent,technical,intent,brand,product_links_to_parent,732,1464
material,titanium,engineering_concept,breaking_load,general_internal_link,1431,1431
application,sail_handling,material,titanium,general_internal_link,1427,1427
engineering_concept,breaking_load,intent,technical,general_internal_link,1397,1397
material,titanium,intent,technical,general_internal_link,1389,1389
material,aluminium,intent,commercial,product_links_to_parent,679,1358
application,deck_attachment,intent,commercial,product_links_to_parent,678,1356
intent,commercial,application,rope_management,general_internal_link,1349,1349
intent,commercial,application,sheet_handling,general_internal_link,1343,1343
engineering_concept,swl,engineering_concept,breaking_load,product_links_to_parent,671,1342
engineering_concept,high_load,intent,brand,general_internal_link,1327,1327
intent,commercial,engineering_concept,customizable,general_internal_link,1309,1309
material,titanium,application,custom_engineering,product_links_to_parent,651,1302
material,titanium,engineering_concept,customizable,product_links_to_parent,651,1302
material,titanium,material,aluminium,product_links_to_parent,645,1290
intent,commercial,application,sail_handling,product_links_to_parent,641,1282
application,sail_handling,application,low_friction_rigging,general_internal_link,1277,1277
intent,brand,application,sail_handling,product_links_to_parent,623,1246
engineering_concept,lightweight,application,custom_engineering,general_internal_link,1245,1245
intent,technical,intent,commercial,product_links_to_parent,622,1244
engineering_concept,swl,application,custom_engineering,general_internal_link,1242,1242
application,rope_management,material,titanium,product_links_to_parent,621,1242
engineering_concept,lightweight,engineering_concept,breaking_load,product_links_to_parent,620,1240
product_family,dogbone,intent,brand,product_links_to_parent,612,1224
engineering_concept,breaking_load,intent,commercial,general_internal_link,1211,1211
intent,brand,application,deck_attachment,general_internal_link,1201,1201
intent,technical,intent,brand,general_internal_link,1201,1201
engineering_concept,breaking_load,application,custom_engineering,product_links_to_parent,589,1178
engineering_concept,breaking_load,engineering_concept,customizable,product_links_to_parent,589,1178
engineering_concept,breaking_load,material,aluminium,product_links_to_parent,585,1170
application,low_friction_rigging,application,custom_engineering,general_internal_link,1167,1167
intent,commercial,application,sheet_handling,product_links_to_parent,580,1160
intent,commercial,product_family,morfblock,product_links_to_parent,580,1160
material,titanium,intent,commercial,general_internal_link,1157,1157
engineering_concept,low_friction,intent,brand,product_links_to_parent,571,1142
application,furling_systems,intent,brand,general_internal_link,1128,1128
application,deck_attachment,intent,brand,general_internal_link,1126,1126
