source_entity_type,source_entity_name,target_entity_type,target_entity_name,relationship_type,relationship_count,total_relationship_weight
intent,commercial,intent,brand,product_links_to_parent,3577,7154
intent,commercial,intent,brand,general_internal_link,6890,6890
intent,brand,intent,commercial,product_links_to_parent,2945,5890
material,titanium,intent,brand,product_links_to_parent,2858,5716
engineering_concept,breaking_load,intent,brand,product_links_to_parent,2581,5162
material,titanium,intent,commercial,product_links_to_parent,2430,4860
application,sail_handling,intent,brand,product_links_to_parent,2357,4714
engineering_concept,breaking_load,intent,commercial,product_links_to_parent,2195,4390
engineering_concept,swl,intent,brand,product_links_to_parent,2097,4194
engineering_concept,breaking_load,intent,brand,general_internal_link,4026,4026
application,sail_handling,intent,commercial,product_links_to_parent,2005,4010
engineering_concept,lightweight,intent,brand,product_links_to_parent,1983,3966
intent,commercial,material,titanium,product_links_to_parent,1891,3782
intent,brand,material,titanium,product_links_to_parent,1835,3670
intent,brand,intent,commercial,general_internal_link,3663,3663
engineering_concept,swl,intent,commercial,product_links_to_parent,1783,3566
material,titanium,intent,brand,general_internal_link,3463,3463
intent,brand,material,titanium,general_internal_link,3438,3438
engineering_concept,lightweight,intent,commercial,product_links_to_parent,1685,3370
application,low_friction_rigging,intent,brand,product_links_to_parent,1666,3332
intent,brand,application,custom_engineering,general_internal_link,3207,3207
engineering_concept,high_load,intent,brand,product_links_to_parent,1594,3188
intent,brand,engineering_concept,breaking_load,general_internal_link,3090,3090
intent,commercial,material,titanium,general_internal_link,3026,3026
application,low_friction_rigging,intent,commercial,product_links_to_parent,1416,2832
intent,commercial,application,custom_engineering,general_internal_link,2810,2810
engineering_concept,breaking_load,material,titanium,product_links_to_parent,1360,2720
engineering_concept,high_load,intent,commercial,product_links_to_parent,1356,2712
intent,commercial,engineering_concept,breaking_load,general_internal_link,2689,2689
application,rope_management,intent,brand,product_links_to_parent,1274,2548
application,sail_handling,intent,brand,general_internal_link,2505,2505
application,sail_handling,material,titanium,product_links_to_parent,1237,2474
application,sheet_handling,intent,brand,product_links_to_parent,1137,2274
application,sheet_handling,intent,brand,general_internal_link,2241,2241
intent,commercial,engineering_concept,breaking_load,product_links_to_parent,1112,2224
engineering_concept,swl,material,titanium,product_links_to_parent,1101,2202
product_family,powerfurl,intent,brand,product_links_to_parent,1100,2200
product_family,morfblock,intent,brand,product_links_to_parent,1095,2190
intent,brand,application,low_friction_rigging,general_internal_link,2182,2182
product_family,morfblock,intent,brand,general_internal_link,2170,2170
application,rope_management,intent,commercial,product_links_to_parent,1082,2164
intent,brand,engineering_concept,breaking_load,product_links_to_parent,1079,2158
engineering_concept,lightweight,material,titanium,product_links_to_parent,1055,2110
product_family,powerfurl,intent,brand,general_internal_link,2073,2073
engineering_concept,breaking_load,material,titanium,general_internal_link,1971,1971
