source_entity_type,source_entity_name,target_entity_type,target_entity_name,relationship_type,relationship_count,total_relationship_weight
intent,commercial,intent,brand,product_links_to_parent,3577,7154
intent,commercial,intent,brand,general_internal_link,6749,6749
intent,brand,intent,commercial,product_links_to_parent,2945,5890
material,titanium,intent,brand,product_links_to_parent,2858,5716
engineering_concept,breaking_load,intent,brand,product_links_to_parent,2581,5162
material,titanium,intent,commercial,product_links_to_parent,2430,4860
application,sail_handling,intent,brand,product_links_to_parent,2357,4714
engineering_concept,breaking_load,intent,commercial,product_links_to_parent,2195,4390
engineering_concept,swl,intent,brand,product_links_to_parent,2097,4194
application,sail_handling,intent,commercial,product_links_to_parent,2005,4010
engineering_concept,lightweight,intent,brand,product_links_to_parent,1983,3966
engineering_concept,breaking_load,intent,brand,general_internal_link,3908,3908
intent,commercial,material,titanium,product_links_to_parent,1891,3782
intent,brand,material,titanium,product_links_to_parent,1835,3670
intent,brand,intent,commercial,general_internal_link,3655,3655
engineering_concept,swl,intent,commercial,product_links_to_parent,1783,3566
intent,brand,material,titanium,general_internal_link,3426,3426
engineering_concept,lightweight,intent,commercial,product_links_to_parent,1685,3370
material,titanium,intent,brand,general_internal_link,3363,3363
application,low_friction_rigging,intent,brand,product_links_to_parent,1666,3332
engineering_concept,high_load,intent,brand,product_links_to_parent,1594,3188
intent,brand,application,custom_engineering,general_internal_link,3033,3033
intent,commercial,material,titanium,general_internal_link,3026,3026
intent,brand,engineering_concept,breaking_load,general_internal_link,2917,2917
application,low_friction_rigging,intent,commercial,product_links_to_parent,1416,2832
engineering_concept,breaking_load,material,titanium,product_links_to_parent,1360,2720
engineering_concept,high_load,intent,commercial,product_links_to_parent,1356,2712
intent,commercial,application,custom_engineering,general_internal_link,2669,2669
intent,commercial,engineering_concept,breaking_load,general_internal_link,2548,2548
application,rope_management,intent,brand,product_links_to_parent,1274,2548
application,sail_handling,material,titanium,product_links_to_parent,1237,2474
application,sail_handling,intent,brand,general_internal_link,2416,2416
application,sheet_handling,intent,brand,product_links_to_parent,1137,2274
intent,commercial,engineering_concept,breaking_load,product_links_to_parent,1112,2224
engineering_concept,swl,material,titanium,product_links_to_parent,1101,2202
product_family,powerfurl,intent,brand,product_links_to_parent,1100,2200
product_family,morfblock,intent,brand,product_links_to_parent,1095,2190
application,sheet_handling,intent,brand,general_internal_link,2185,2185
intent,brand,application,low_friction_rigging,general_internal_link,2176,2176
application,rope_management,intent,commercial,product_links_to_parent,1082,2164
intent,brand,engineering_concept,breaking_load,product_links_to_parent,1079,2158
product_family,morfblock,intent,brand,general_internal_link,2134,2134
engineering_concept,lightweight,material,titanium,product_links_to_parent,1055,2110
product_family,powerfurl,intent,brand,general_internal_link,2003,2003
intent,commercial,application,custom_engineering,product_links_to_parent,983,1966
intent,commercial,engineering_concept,customizable,product_links_to_parent,983,1966
engineering_concept,breaking_load,material,titanium,general_internal_link,1959,1959
intent,commercial,application,low_friction_rigging,general_internal_link,1954,1954
application,sheet_handling,intent,commercial,product_links_to_parent,969,1938
application,furling_systems,intent,brand,product_links_to_parent,964,1928
intent,brand,application,custom_engineering,product_links_to_parent,950,1900
intent,brand,engineering_concept,customizable,product_links_to_parent,950,1900
product_family,powerfurl,intent,commercial,product_links_to_parent,934,1868
product_family,morfblock,intent,commercial,product_links_to_parent,933,1866
engineering_concept,breaking_load,application,custom_engineering,general_internal_link,1854,1854
material,titanium,application,custom_engineering,general_internal_link,1803,1803
application,low_friction_rigging,material,titanium,product_links_to_parent,885,1770
material,titanium,engineering_concept,breaking_load,product_links_to_parent,885,1770
engineering_concept,lightweight,intent,brand,general_internal_link,1760,1760
intent,brand,intent,technical,general_internal_link,1744,1744
engineering_concept,swl,intent,brand,general_internal_link,1737,1737
application,low_friction_rigging,intent,brand,general_internal_link,1710,1710
engineering_concept,high_load,material,titanium,product_links_to_parent,843,1686
application,furling_systems,intent,commercial,product_links_to_parent,818,1636
material,aluminium,intent,brand,product_links_to_parent,814,1628
intent,commercial,material,aluminium,product_links_to_parent,804,1608
