priority,product_family,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,metadata_need,recommended_title,title_length_recommended,recommended_meta_description,meta_length_recommended,recommendation_confidence,opportunity_score
CRITICAL,dogbone,dogbone,https://www.morfrac.com/dogbone,232.0,0.0,3.0,3.0,7.23,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,100,135
CRITICAL,dogbone,dogbone,https://www.morfrac.com/es/dogbone,122.0,0.0,3.0,3.0,7.43,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,100,135
HIGH,dogbone,dogbones,https://www.morfrac.com/dogbone,93.0,0.0,2.0,2.0,9.72,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,90,105
HIGH,mloop,m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,26.0,0.0,2.0,2.0,9.31,commercial,product,serp_ctr_gap,Mloop Dyneema Loops for Sailing Hardware | MORFRAC,50,"Explore MORFRAC Mloop Dyneema loops for clean, strong and lightweight sailing hardware connections. Designed for performance rigging and simple onboard integration.",164,90,100
HIGH,dogbone,dog bone,https://www.morfrac.com/dogbone,91.0,0.0,15.0,15.0,1.07,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,80,90
HIGH,dogbone,dog bone shackle,https://www.morfrac.com/dogbone,10.0,0.0,4.0,4.0,6.0,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,padeye,deck pad eye,https://www.morfrac.com/padeye,8.0,0.0,4.0,4.0,5.75,commercial,landing,serp_ctr_gap; short_title,Padeyes for High-Performance Sailing Hardware | MORFRAC,55,"MORFRAC padeyes for performance sailing applications, including lightweight deck hardware solutions engineered for strength, reliability and clean integration.",159,75,105
HIGH,dogbone,dog bones,https://www.morfrac.com/es/dogbone,6.0,0.0,3.5,3.5,6.67,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,general,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,22.0,0.0,4.0,4.0,5.86,commercial,blog,missing_meta; serp_ctr_gap; short_title,Farr X2 For Sale Technical Guide | MORFRAC,42,"Technical information from MORFRAC about farr x2 for sale, with engineering context, marine applications and practical performance sailing insights.",148,75,100
HIGH,dogbone,kevlar dog bone,https://www.morfrac.com/dogbone,12.0,0.0,2.5,2.5,8.67,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,95
HIGH,dogbone,dog bone sailing,https://www.morfrac.com/dogbone,9.0,0.0,2.5,2.5,8.11,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,95
HIGH,dogbone,dog bone soft shackle,https://www.morfrac.com/dogbone,9.0,0.0,2.5,2.5,8.44,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,95
HIGH,dogbone,dogbone sailing,https://www.morfrac.com/dogbone,6.0,0.0,2.5,2.5,8.33,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,95
HIGH,padeye,cancamo pasante,https://www.morfrac.com/es/padeye,6.0,0.0,2.5,2.5,8.83,commercial,landing,serp_ctr_gap; short_title,Padeyes for High-Performance Sailing Hardware | MORFRAC,55,"MORFRAC padeyes for performance sailing applications, including lightweight deck hardware solutions engineered for strength, reliability and clean integration.",159,65,95
HIGH,general,farr performance,https://www.morfrac.com/blog/news-1/farr-x2-5,7.0,0.0,2.0,2.0,9.14,commercial,blog,missing_meta; serp_ctr_gap; short_title,Farr Performance Technical Guide | MORFRAC,42,"Technical information from MORFRAC about farr performance, with engineering context, marine applications and practical performance sailing insights.",148,65,90
MEDIUM,dogbone,dog bone rigging,https://www.morfrac.com/dogbone,12.0,0.0,7.0,7.0,3.92,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,80
MEDIUM,dogbone,dogbone rigging,https://www.morfrac.com/dogbone,5.0,0.0,10.0,10.0,2.4,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,80
HIGH,dogbone,dogbones,https://www.morfrac.com/es/dogbone,36.0,0.0,1.0,1.0,10.33,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,60,95
MEDIUM,general,farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,62.0,3.23,3.0,-0.2299999999999999,7.94,commercial,blog,missing_meta; short_title,Farr X2 Technical Guide | MORFRAC,33,"Technical information from MORFRAC about farr x2, with engineering context, marine applications and practical performance sailing insights.",139,60,80
MEDIUM,dogbone,sailing dogbone,https://www.morfrac.com/dogbone,49.0,2.04,0.6,-1.44,21.0,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,60,75
MEDIUM,dogbone,dog bone,https://www.morfrac.com/es/dogbone,11.0,0.0,1.0,1.0,10.64,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,45,85
MEDIUM,dogbone,dogbone shackle,https://www.morfrac.com/dogbone,12.0,8.33,3.5,-4.83,6.58,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,45,75
LOW,dogbone,dogbone joint,https://www.morfrac.com/dogbone,55.0,0.0,0.2,0.2,59.47,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,35,60
MEDIUM,mloop,m-loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,5.0,0.0,5.0,5.0,4.8,unknown,product,serp_ctr_gap,Mloop Dyneema Loops for Sailing Hardware | MORFRAC,50,"Explore MORFRAC Mloop Dyneema loops for clean, strong and lightweight sailing hardware connections. Designed for performance rigging and simple onboard integration.",164,20,70
LOW,general,"""orza"" sailing command",https://www.morfrac.com/es/morfwing,7.0,0.0,7.0,7.0,4.0,unknown,other,serp_ctr_gap; short_title,"""orza"" Sailing Command | MORFRAC",32,"Explore MORFRAC solutions for ""orza"" sailing command, engineered for high-performance sailing hardware, technical reliability and clean marine system integration.",162,20,65
LOW,powerfurl,almacenadores,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-tambor-30,5.0,0.0,15.0,15.0,1.8,unknown,category,missing_meta; serp_ctr_gap,Powerfurl Furling Systems for Performance Sailing | MORFRAC,59,"MORFRAC Powerfurl systems deliver simple, reliable and lightweight furling solutions for performance sailing, offshore use and modern sail handling.",148,20,52
LOW,general,helice de proa,https://www.morfrac.com/es/blog/historias-4/helice-de-proa-9,7.0,0.0,7.0,7.0,3.43,unknown,blog,missing_meta; serp_ctr_gap; short_title,Helice De Proa Technical Guide | MORFRAC,40,"Technical information from MORFRAC about helice de proa, with engineering context, marine applications and practical performance sailing insights.",146,20,45
