priority,product_family,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,metadata_need,recommended_title,title_length_recommended,recommended_meta_description,meta_length_recommended,recommendation_confidence,opportunity_score
CRITICAL,dogbone,dogbone,https://www.morfrac.com/dogbone,247.0,0.0,3.0,3.0,7.28,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,100,135
CRITICAL,dogbone,dogbone,https://www.morfrac.com/es/dogbone,127.0,0.0,3.5,3.5,6.57,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,100,135
HIGH,dogbone,dogbones,https://www.morfrac.com/dogbone,63.0,0.0,4.0,4.0,5.08,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,90,115
HIGH,general,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,29.0,0.0,2.5,2.5,8.28,commercial,blog,missing_meta; serp_ctr_gap; short_title,Farr X2 For Sale Technical Guide | MORFRAC,42,"Technical information from MORFRAC about farr x2 for sale, with engineering context, marine applications and practical performance sailing insights.",148,90,100
HIGH,dogbone,dog bone,https://www.morfrac.com/dogbone,57.0,0.0,28.0,28.0,1.0,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,80,90
HIGH,dogbone,kevlar dog bone,https://www.morfrac.com/dogbone,17.0,0.0,3.0,3.0,7.71,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dog bone rigging,https://www.morfrac.com/dogbone,11.0,0.0,4.0,4.0,5.55,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dog bone sailing,https://www.morfrac.com/dogbone,10.0,0.0,3.0,3.0,7.4,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dog bone steel,https://www.morfrac.com/dogbone,6.0,0.0,3.5,3.5,6.33,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,padeye,deck pad eye,https://www.morfrac.com/padeye,6.0,0.0,3.0,3.0,8.0,commercial,landing,serp_ctr_gap; short_title,Padeyes for High-Performance Sailing Hardware | MORFRAC,55,"MORFRAC padeyes for performance sailing applications, including lightweight deck hardware solutions engineered for strength, reliability and clean integration.",159,75,105
