priority,product_family,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,metadata_need,recommended_title,title_length_recommended,recommended_meta_description,meta_length_recommended,recommendation_confidence,opportunity_score
CRITICAL,dogbone,dogbone,https://www.morfrac.com/dogbone,255.0,0.0,3.5,3.5,6.95,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,100,135
CRITICAL,dogbone,dogbone,https://www.morfrac.com/es/dogbone,131.0,0.0,3.0,3.0,7.02,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,100,135
HIGH,dogbone,dog bone,https://www.morfrac.com/dogbone,135.0,0.0,15.0,15.0,1.04,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,100,110
HIGH,dogbone,dogbones,https://www.morfrac.com/dogbone,93.0,0.0,4.0,4.0,5.76,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,90,115
HIGH,general,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,31.0,0.0,3.0,3.0,7.32,commercial,blog,missing_meta; serp_ctr_gap; short_title,Farr X2 For Sale Technical Guide | MORFRAC,42,"Technical information from MORFRAC about farr x2 for sale, with engineering context, marine applications and practical performance sailing insights.",148,90,110
HIGH,dogbone,dogbones,https://www.morfrac.com/es/dogbone,30.0,0.0,7.0,7.0,3.03,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,80,90
HIGH,dogbone,dog bone rigging,https://www.morfrac.com/dogbone,11.0,0.0,5.0,5.0,4.09,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,padeye,deck pad eye,https://www.morfrac.com/padeye,8.0,0.0,4.0,4.0,5.75,commercial,landing,serp_ctr_gap; short_title,Padeyes for High-Performance Sailing Hardware | MORFRAC,55,"MORFRAC padeyes for performance sailing applications, including lightweight deck hardware solutions engineered for strength, reliability and clean integration.",159,75,105
HIGH,dogbone,dogbone shackle,https://www.morfrac.com/dogbone,8.0,0.0,3.5,3.5,7.0,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dog bones,https://www.morfrac.com/es/dogbone,6.0,0.0,5.0,5.0,4.17,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,kevlar dog bone,https://www.morfrac.com/dogbone,21.0,0.0,2.5,2.5,8.1,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,95
HIGH,dogbone,dog bone sailing,https://www.morfrac.com/dogbone,10.0,0.0,2.5,2.5,8.1,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,95
HIGH,dogbone,dog bone soft shackle,https://www.morfrac.com/dogbone,10.0,0.0,2.5,2.5,8.3,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,95
HIGH,dogbone,dogbone sailing,https://www.morfrac.com/dogbone,6.0,0.0,2.5,2.5,8.33,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,95
MEDIUM,dogbone,dogbone rigging,https://www.morfrac.com/dogbone,7.0,0.0,15.0,15.0,2.0,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,80
MEDIUM,general,farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,62.0,3.23,2.5,-0.73,8.03,commercial,blog,missing_meta; short_title,Farr X2 Technical Guide | MORFRAC,33,"Technical information from MORFRAC about farr x2, with engineering context, marine applications and practical performance sailing insights.",139,60,80
MEDIUM,dogbone,dog bone,https://www.morfrac.com/es/dogbone,14.0,0.0,1.0,1.0,10.07,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,45,85
