priority,product_family,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,metadata_need,recommended_title,title_length_recommended,recommended_meta_description,meta_length_recommended,recommendation_confidence,opportunity_score
CRITICAL,mloop,mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,167.0,0.0,3.0,3.0,7.71,commercial,product,serp_ctr_gap,Mloop Dyneema Loops for Sailing Hardware | MORFRAC,50,"Explore MORFRAC Mloop Dyneema loops for clean, strong and lightweight sailing hardware connections. Designed for performance rigging and simple onboard integration.",164,100,130
CRITICAL,mloop,mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,121.0,0.0,4.0,4.0,5.82,commercial,product,serp_ctr_gap,Mloop Dyneema Loops for Sailing Hardware | MORFRAC,50,"Explore MORFRAC Mloop Dyneema loops for clean, strong and lightweight sailing hardware connections. Designed for performance rigging and simple onboard integration.",164,100,130
CRITICAL,dogbone,dogbone,https://www.morfrac.com/dogbone,109.0,0.0,2.5,2.5,8.42,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,100,125
HIGH,dogbone,dogbone,https://www.morfrac.com/es/dogbone,54.0,0.0,2.5,2.5,8.3,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,90,105
HIGH,dogbone,dog bones,https://www.morfrac.com/es/dogbone,10.0,0.0,5.0,5.0,4.9,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dog bone shackle,https://www.morfrac.com/dogbone,9.0,0.0,4.0,4.0,6.0,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dog bone steel,https://www.morfrac.com/dogbone,9.0,0.0,3.5,3.5,6.22,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dogbone sailing,https://www.morfrac.com/dogbone,8.0,0.0,3.0,3.0,8.0,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dogbone shackle,https://www.morfrac.com/dogbone,7.0,0.0,4.0,4.0,5.57,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dog bone sailing,https://www.morfrac.com/dogbone,5.0,0.0,3.5,3.5,6.8,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,general,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,21.0,0.0,4.0,4.0,5.29,commercial,blog,missing_meta; serp_ctr_gap; short_title,Farr X2 For Sale Technical Guide | MORFRAC,42,"Technical information from MORFRAC about farr x2 for sale, with engineering context, marine applications and practical performance sailing insights.",148,75,100
HIGH,dogbone,dogbones,https://www.morfrac.com/dogbone,105.0,0.95,0.6,-0.35,21.0,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,70,95
HIGH,padeye,cancamo pasante,https://www.morfrac.com/es/padeye,8.0,0.0,2.5,2.5,8.75,commercial,landing,serp_ctr_gap; short_title,Padeyes for High-Performance Sailing Hardware | MORFRAC,55,"MORFRAC padeyes for performance sailing applications, including lightweight deck hardware solutions engineered for strength, reliability and clean integration.",159,65,95
