priority,product_family,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,metadata_need,recommended_title,title_length_recommended,recommended_meta_description,meta_length_recommended,recommendation_confidence,opportunity_score
CRITICAL,mloop,mloop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,116.0,0.0,3.5,3.5,6.94,commercial,product,serp_ctr_gap,Mloop Dyneema Loops for Sailing Hardware | MORFRAC,50,"Explore MORFRAC Mloop Dyneema loops for clean, strong and lightweight sailing hardware connections. Designed for performance rigging and simple onboard integration.",164,100,130
CRITICAL,dogbone,dogbone,https://www.morfrac.com/es/dogbone,116.0,0.86,3.5,2.64,6.53,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,100,125
CRITICAL,dogbone,dogbone,https://www.morfrac.com/dogbone,107.0,0.93,3.0,2.07,7.35,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,100,125
HIGH,mloop,mloop,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,34.0,0.0,3.0,3.0,7.26,commercial,product,serp_ctr_gap,Mloop Dyneema Loops for Sailing Hardware | MORFRAC,50,"Explore MORFRAC Mloop Dyneema loops for clean, strong and lightweight sailing hardware connections. Designed for performance rigging and simple onboard integration.",164,90,110
HIGH,dogbone,dogbones,https://www.morfrac.com/es/dogbone,28.0,3.57,7.0,3.43,3.79,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,80,90
HIGH,dogbone,dogbone sailing,https://www.morfrac.com/dogbone,10.0,0.0,3.5,3.5,6.1,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dog bone,https://www.morfrac.com/es/dogbone,8.0,0.0,3.0,3.0,7.12,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dogbone shackle,https://www.morfrac.com/dogbone,6.0,0.0,4.0,4.0,5.67,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,dogbone,dog bone sailing,https://www.morfrac.com/dogbone,5.0,0.0,2.5,2.5,8.4,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,95
HIGH,mloop,m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,24.0,0.0,2.0,2.0,9.21,commercial,product,serp_ctr_gap,Mloop Dyneema Loops for Sailing Hardware | MORFRAC,50,"Explore MORFRAC Mloop Dyneema loops for clean, strong and lightweight sailing hardware connections. Designed for performance rigging and simple onboard integration.",164,65,90
