priority,product_family,query,page,impressions,ctr_percent,expected_ctr,ctr_gap,position,intent,page_type,metadata_need,recommended_title,title_length_recommended,recommended_meta_description,meta_length_recommended,recommendation_confidence,opportunity_score
HIGH,dogbone,dogbone,https://www.morfrac.com/es/dogbone,80.0,0.0,3.0,3.0,7.78,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,90,115
HIGH,dogbone,dog bone shackle,https://www.morfrac.com/dogbone,30.0,0.0,2.0,2.0,9.37,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,90,105
HIGH,dogbone,dogbones,https://www.morfrac.com/es/dogbone,28.0,0.0,2.5,2.5,8.14,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,90,105
HIGH,dogbone,dogbone,https://www.morfrac.com/dogbone,108.0,0.93,2.0,1.0699999999999998,9.12,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,80,115
HIGH,dogbone,dogbone shackle,https://www.morfrac.com/dogbone,14.0,0.0,3.0,3.0,7.79,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,75,105
HIGH,padeye,padeyes,https://www.morfrac.com/padeye,184.0,0.54,0.8,0.26,15.7,commercial,landing,short_title,Padeyes for High-Performance Sailing Hardware | MORFRAC,55,"MORFRAC padeyes for performance sailing applications, including lightweight deck hardware solutions engineered for strength, reliability and clean integration.",159,70,95
HIGH,padeye,deck pad eye,https://www.morfrac.com/padeye,15.0,0.0,2.5,2.5,8.93,commercial,landing,serp_ctr_gap; short_title,Padeyes for High-Performance Sailing Hardware | MORFRAC,55,"MORFRAC padeyes for performance sailing applications, including lightweight deck hardware solutions engineered for strength, reliability and clean integration.",159,65,95
HIGH,shackle,custom shackles,https://www.morfrac.com/shackle,15.0,0.0,2.0,2.0,9.67,commercial,landing,serp_ctr_gap; short_title,Titanium Shackles for High-Load Sailing Hardware | MORFRAC,58,"High-load MORFRAC shackles for sailing hardware applications. Engineered for strength, corrosion resistance and reliable performance in demanding marine systems.",161,65,95
HIGH,dogbone,dog bone soft shackle,https://www.morfrac.com/dogbone,6.0,0.0,2.0,2.0,9.17,commercial,landing,serp_ctr_gap; short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,65,95
HIGH,general,farr x2 for sale,https://www.morfrac.com/blog/news-1/farr-x2-5,21.0,0.0,2.0,2.0,9.52,commercial,blog,missing_meta; serp_ctr_gap; short_title,Farr X2 For Sale Technical Guide | MORFRAC,42,"Technical information from MORFRAC about farr x2 for sale, with engineering context, marine applications and practical performance sailing insights.",148,65,90
HIGH,dogbone,dogbones,https://www.morfrac.com/dogbone,43.0,0.0,1.0,1.0,10.44,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,60,95
HIGH,mloop,m loop,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,42.0,0.0,1.0,1.0,12.12,commercial,product,,Mloop Dyneema Loops for Sailing Hardware | MORFRAC,50,"Explore MORFRAC Mloop Dyneema loops for clean, strong and lightweight sailing hardware connections. Designed for performance rigging and simple onboard integration.",164,60,90
MEDIUM,padeye,padeye,https://www.morfrac.com/padeye,70.0,1.43,1.0,-0.4299999999999999,10.79,commercial,landing,short_title,Padeyes for High-Performance Sailing Hardware | MORFRAC,55,"MORFRAC padeyes for performance sailing applications, including lightweight deck hardware solutions engineered for strength, reliability and clean integration.",159,60,85
MEDIUM,dogbone,dogbone carriers,https://www.morfrac.com/dogbone,13.0,0.0,1.0,1.0,12.54,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,45,85
MEDIUM,dogbone,dog bone sailing,https://www.morfrac.com/dogbone,5.0,0.0,1.0,1.0,10.8,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,45,85
MEDIUM,general,farr x2,https://www.morfrac.com/blog/news-1/farr-x2-5,8.0,0.0,1.0,1.0,10.62,commercial,blog,missing_meta; short_title,Farr X2 Technical Guide | MORFRAC,33,"Technical information from MORFRAC about farr x2, with engineering context, marine applications and practical performance sailing insights.",139,45,80
MEDIUM,dogbone,dog bone rigging,https://www.morfrac.com/dogbone,23.0,8.7,5.0,-3.6999999999999993,4.09,commercial,landing,short_title,Dogbone Connectors for Sailing Rigging | MORFRAC,48,"Discover MORFRAC dogbone connectors for soft shackles, textile rigging and high-performance sailing hardware. Lightweight, reliable and engineered for demanding marine use.",172,45,75
