semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts,gap_type,gap_score,recommended_action
11,dogbone,16,16,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"dogbone, length, morfrac dogbone, aluminium, 60mm, total, length morfrac, total length, dogbone aluminium, aluminium dogbone",{'product': 16},{'dogbone': 16},Missing technical authority content,155.0,Create technical guide content supporting the dogbone product family.
2,powerfurl,15,15,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"unit, powerfurl, furling, drum, powerfurl drum, furling unit, unit morfrac, unit powerfurl, powerfurl engineered, swivelhead",{'product': 15},{'powerfurl': 15},Missing technical authority content,155.0,Create technical guide content supporting the powerfurl product family.
7,morfblock,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"xl, morfblock xl, xl sailing, sailing block, block, morfblock, sailing, swl, sheave, handling",{'product': 14},{'morfblock': 14},Missing technical authority content,155.0,Create technical guide content supporting the morfblock product family.
0,dogbone,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"dogbone, morfrac dogbone, faced, flat faced, flat, titanium, length, faced titanium, dogbone flat, titanium dogbone",{'product': 14},{'dogbone': 14},Missing technical authority content,155.0,Create technical guide content supporting the dogbone product family.
8,powerfurl,10,10,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"integrator, powerfurl, tdis, integrators, lashing, 5t, 5t swl, furling performance, swl, swl integrator",{'product': 10},{'powerfurl': 10},Missing technical authority content,145.0,Create technical guide content supporting the powerfurl product family.
10,powerfurl,21,21,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"kit, furling, furling kit, powerfurl, 5t swl, 5t, powerfurl kit, swl, powerfurl furling, line furling",{'product': 21},"{'powerfurl': 17, 'shackle': 4}",Missing technical authority content,145.0,Create technical guide content supporting the powerfurl product family.
3,morfblock,46,44,2,0,0,0,0,0.0,FRAGMENTED_TOPIC,"sailing block, morfblock, sailing, block, morfblock light, light, swl, lightweight sailing, high, lightweight","{'product': 44, 'category': 2}",{'morfblock': 46},Missing technical authority content,125.0,Create technical guide content supporting the morfblock product family.
5,morfring,16,15,0,1,0,0,0,0.0,OK,"ring, friction, friction ring, morfring, aluminium friction, ptfe, aluminium, ring morfrac, morfrac morfring, groove max","{'product': 15, 'landing': 1}","{'morfring': 13, 'padeye': 3}",Missing technical authority content,95.0,Create technical guide content supporting the morfring product family.
6,powerfurl,9,9,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"fork, fitting, powerfurl fork, fork fitting, powerfurl, 10t, 10t swl, fork titanium, fork fork, detachable",{'product': 9},{'powerfurl': 9},Missing category support,77.0,Create or improve category structure for powerfurl pages.
4,shackle,10,9,0,1,0,0,0,0.0,OK,"shackle, ti shackle, ti, titanium shackle, titanium, ø6mm, machined, cnc machined, cnc, ultra","{'product': 9, 'landing': 1}",{'shackle': 10},Missing category support,47.0,Create or improve category structure for shackle pages.
