url,final_url,status_code,load_time_seconds,error,title,title_length,meta_description,meta_description_length,canonical,robots,indexable,page_type,business_priority,authority_value,commercial_relevance,likely_noise,h1_count,h1,h2_count,word_count,image_count,images_missing_alt,internal_link_count,external_link_count,issue_count,issues,commercial_seo_score
https://www.morfrac.com/,https://www.morfrac.com/,200.0,0.73,,MORFRAC | High Performance Sailing Hardware,43,"High performance sailing hardware engineered by sailors for sailors: powerfurl. furling systems, morfblock. blocks, mreel. rope reelers and custom deck hardware",160,https://www.morfrac.com/,,True,general,medium,medium,medium,low,6,more for your project. | more for your boat. | MORFRAC,12,500,21,1,29,3,2,Multiple H1; Images missing alt text,10
https://www.morfrac.com/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,200.0,1.56,,mloop.[one] - High-performance Dyneema® loop,44,"Lightweight, high-strength soft loop connector designed for versatile rigging applications. Perfect for performance sailing and advanced deck hardware setups.",158,https://www.morfrac.com/shop/mloop-dyneema-loop-12675,,True,product,high,high,high,low,2,mloop.[one],7,305,25,7,37,3,2,Multiple H1; Images missing alt text,16
https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,200.0,2.69,,mloop.[one] - High-performance Dyneema® loop,44,"Lightweight, high-strength soft loop connector designed for versatile rigging applications. Perfect for performance sailing and advanced deck hardware setups.",158,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,,True,product,high,high,high,low,2,mloop.[one],7,311,25,7,37,3,2,Multiple H1; Images missing alt text,16
https://www.morfrac.com/shop/dogbone60-23-12467,https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467,200.0,1.13,,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,58,Aluminium dogbone. designed for versatile soft attachment applications and lightweight sailing hardware integration. Total length 60mm. | MORFRAC,145,https://www.morfrac.com/shop/dogbone-60-23-aluminium-12467,,True,product,high,high,high,low,2,dogbone.60-23,8,358,17,8,36,3,2,Multiple H1; Images missing alt text,16
https://www.morfrac.com/es/shop/dogbone60-23-12467,https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467,200.0,0.59,,MORFRAC dogbone. - Aluminium Ø11mm | 60mm Length | MORFRAC,58,Aluminium dogbone. designed for versatile soft attachment applications and lightweight sailing hardware integration. Total length 60mm. | MORFRAC,145,https://www.morfrac.com/es/shop/dogbone-60-23-aluminium-12467,,True,product,high,high,high,low,2,dogbone.60-23,8,364,17,8,36,3,2,Multiple H1; Images missing alt text,16
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,200.0,0.46,,D-Shackle | MORFRAC OUTLET | Best Online Deal,45,"Grade 5 Titanium D-shackle, CNC-machined. Ultra light weight, and unmatched load capacity. The most resistant metal shackle available. Perfect for high-load applications.",170,https://www.morfrac.com/es/shop/shackle-17-4ph-12827,,True,product,high,high,high,low,2,D-Shackle 6mm,7,283,19,7,37,3,2,Multiple H1; Images missing alt text,16
https://www.morfrac.com/shop/morfblock-light-4-p-12338,https://www.morfrac.com/shop/morfblock-light-04-performance-sailing-block-12338,200.0,0.61,,morfblock.[LIGHT] - 04 | 1500kg SWL | Lightweight Sailing Block | MORFRAC,73,Compact lightweight sailing block engineered for smooth running and top-level sailing efficiency. 1500kg SWL.,109,https://www.morfrac.com/shop/morfblock-light-04-performance-sailing-block-12338,,True,product,high,high,high,low,2,morfblock.[LIGHT] - 04 - Performance,7,469,20,11,38,3,3,Long title; Multiple H1; Images missing alt text,18
https://www.morfrac.com/shop/morfblock-light-4-hl-12823,https://www.morfrac.com/shop/morfblock-light-4-hl-12823,200.0,0.62,,morfblock.[LIGHT] - 04 | Sailing Block | MORFRAC,48,morfblock.[LIGHT] - Sheave Ø 50mm - Max line Ø 14mm 2000 kg SWL - High load bearing,83,https://www.morfrac.com/shop/morfblock-light-4-hl-12823,,True,product,high,high,high,low,3,morfblock.[LIGHT] - 04 - High Load - Green,8,559,20,7,37,3,2,Multiple H1; Images missing alt text,16
https://www.morfrac.com/es/shop/category/mloop-34,https://www.morfrac.com/es/shop/category/mloop-34,200.0,0.55,,mloop. | MORFRAC,16,,0,https://www.morfrac.com/es/shop/category/mloop-34,,True,product,high,high,high,low,4,[shop] ​ | [shop] ​ | mloop.,13,417,19,1,63,3,4,Short title; Missing meta description; Multiple H1; Images missing alt text,22
https://www.morfrac.com/es/shop/category/morfblock-17,https://www.morfrac.com/es/shop/category/morfblock-17,200.0,0.73,,morfblock. | MORFRAC,20,,0,https://www.morfrac.com/es/shop/category/morfblock-17,,True,product,high,high,high,low,4,[shop] ​ | [shop] ​ | morfblock.,28,679,32,1,79,3,4,Short title; Missing meta description; Multiple H1; Images missing alt text,22
