url,final_url,status_code,load_time_seconds,error,title,title_length,meta_description,meta_description_length,canonical,robots,indexable,page_type,business_priority,authority_value,commercial_relevance,likely_noise,h1_count,h1,h2_count,word_count,image_count,images_missing_alt,internal_link_count,external_link_count,issue_count,issues,commercial_seo_score
https://www.morfrac.com/,https://www.morfrac.com/,200,0.61,,MORFRAC - Yacht Hardware and Custom Solutions,45,"Learn more about MORFRAC's blocks, furling systems and accessories.
Discover our custom design and manufacturing solutions. Shop yacht hardware online 24/7.",156,https://www.morfrac.com/,,True,general,medium,medium,medium,low,12,more for your project. ​ | more for your boat. | MORFRAC,6,499,21,7,29,3,2,Multiple H1; Images missing alt text,10
https://www.morfrac.com/about,https://www.morfrac.com/about,200,0.42,,About | MORFRAC,15,"Innovating the yachting industry with smart, reliable, customizable hardware. Learn where MORFRAC comes from and where is headed!",129,https://www.morfrac.com/about,,True,general,medium,medium,medium,low,2,MORFRAC,10,953,20,12,28,3,3,Short title; Multiple H1; Images missing alt text,13
https://www.morfrac.com/blog,https://www.morfrac.com/blog,200,0.37,,Blog Posts | MORFRAC,20,,0,https://www.morfrac.com/blog,,True,general,medium,medium,medium,low,1,,9,977,20,12,56,3,3,Short title; Missing meta description; Images missing alt text,14
https://www.morfrac.com/contactus,https://www.morfrac.com/contactus,200,0.36,,Contact Us | MORFRAC,20,"Reach out to MORFRAC SYSTEMS. Our team is ready to assist you with cutting-edge hardware, innovative solutions and tailored support.",132,https://www.morfrac.com/contactus,,True,general,medium,medium,medium,low,2,Contact us,10,260,17,9,28,3,3,Short title; Multiple H1; Images missing alt text,13
https://www.morfrac.com/cookie,https://www.morfrac.com/cookie,404,1.17,,Page Not Found | MORFRAC,24,,0,https://www.morfrac.com/cookie,,False,system,ignore,low,low,high,2,Error 404,10,243,19,9,28,4,5,Non-200 status; Short title; Missing meta description; Multiple H1; Images missing alt text,-1
https://www.morfrac.com/custom,https://www.morfrac.com/custom,200,0.55,,Custom. | MORFRAC,17,"CUSTOM. | Custom furler | Custom block | Custom dogbone | Custom padeye | Custom parts for sailing yacht | Custom, for you!",123,https://www.morfrac.com/custom,,True,general,medium,medium,medium,low,8,custom. | YOUR WAY. | YOUR WAY.,21,1294,37,29,29,3,3,Short title; Multiple H1; Images missing alt text,13
https://www.morfrac.com/disclaimer,https://www.morfrac.com/disclaimer,200,0.39,,T&C | MORFRAC,13,"Innovating the yachting industry with smart, reliable, customizable hardware. Learn where MORFRAC comes from and where is headed!",129,https://www.morfrac.com/disclaimer,,True,system,ignore,low,low,high,2,MORFRAC,10,223,17,9,29,3,4,Short title; Multiple H1; Thin content; Images missing alt text,-6
https://www.morfrac.com/dogbone,https://www.morfrac.com/dogbone,200,0.4,,dogbones. | MORFRAC,19,DOGBONE. | Secure and Seamless Textile Connection | Hard anodized Aluminium + PFTE | Titanium | Custom shapes and materials | For you!,134,https://www.morfrac.com/dogbone,,True,product,high,high,high,low,18,dogbone. | YOUR LINK. | YOUR LINK.,24,746,29,21,29,3,3,Short title; Multiple H1; Images missing alt text,19
https://www.morfrac.com/es,https://www.morfrac.com/es,200,0.42,,MORFRAC - Yacht Hardware and Custom Solutions,45,"Learn more about MORFRAC's blocks, furling systems and accessories.
Discover our custom design and manufacturing solutions. Shop yacht hardware online 24/7.",156,https://www.morfrac.com/es,,True,general,medium,medium,medium,low,12,more for your project. ​ | more for your boat. | MORFRAC,6,487,21,7,28,3,2,Multiple H1; Images missing alt text,10
https://www.morfrac.com/morfblock,https://www.morfrac.com/morfblock,200,0.39,,morfblock. | MORFRAC,20,"MORFBLOCK. | The block with the best working load/weight ratio of the market | Simplicity, Reliability, Performance. | Made for your yacht!",139,https://www.morfrac.com/morfblock,,True,product,high,high,high,low,6,morfblock. | YOUR BLOCK. | morfblock. [custom],30,1326,52,44,33,3,3,Short title; Multiple H1; Images missing alt text,19
