semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts
9,other,59,23,0,4,21,433,3,3.29,FRAGMENTED_TOPIC,"custom, padeye, morfrac, deck, morfblock, snatch, high performance, mreel, performance, hardware","{'product': 23, 'authority_content': 21, 'general': 11, 'landing': 4}","{'other': 14, 'powerfurl': 8, 'morfblock': 8, 'custom_engineering': 6, 'padeye': 6, 'morfwing': 4, 'mloop': 4, 'mreel': 4, 'dogbone': 3, 'morfring': 1, 'hoistlock': 1}"
3,morfblock,46,44,2,0,0,0,0,0.0,FRAGMENTED_TOPIC,"sailing block, morfblock, sailing, block, morfblock light, light, swl, lightweight sailing, high, lightweight","{'product': 44, 'category': 2}",{'morfblock': 46}
1,powerfurl,40,0,40,0,0,0,0,0.0,FRAGMENTED_TOPIC,"shop, morfrac shop, shop morfrac, morfrac, powerfurl, shop powerfurl, powerfurl morfrac, tdi, shop morfblock, morfblock",{'category': 40},"{'powerfurl': 16, 'other': 9, 'morfblock': 5, 'dogbone': 3, 'shackle': 2, 'custom_engineering': 1, 'mloop': 1, 'morfring': 1, 'mreel': 1, 'padeye': 1}"
10,powerfurl,21,21,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"kit, furling, furling kit, powerfurl, 5t swl, 5t, powerfurl kit, swl, powerfurl furling, line furling",{'product': 21},"{'powerfurl': 17, 'shackle': 4}"
5,morfring,16,15,0,1,0,0,0,0.0,OK,"ring, friction, friction ring, morfring, aluminium friction, ptfe, aluminium, ring morfrac, morfrac morfring, groove max","{'product': 15, 'landing': 1}","{'morfring': 13, 'padeye': 3}"
4,shackle,10,9,0,1,0,0,0,0.0,OK,"shackle, ti shackle, ti, titanium shackle, titanium, ø6mm, machined, cnc machined, cnc, ultra","{'product': 9, 'landing': 1}",{'shackle': 10}
11,dogbone,16,16,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"dogbone, length, morfrac dogbone, aluminium, 60mm, total, length morfrac, total length, dogbone aluminium, aluminium dogbone",{'product': 16},{'dogbone': 16}
2,powerfurl,15,15,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"unit, powerfurl, furling, drum, powerfurl drum, furling unit, unit morfrac, unit powerfurl, powerfurl engineered, swivelhead",{'product': 15},{'powerfurl': 15}
0,dogbone,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"dogbone, morfrac dogbone, faced, flat faced, flat, titanium, length, faced titanium, dogbone flat, titanium dogbone",{'product': 14},{'dogbone': 14}
7,morfblock,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"xl, morfblock xl, xl sailing, sailing block, block, morfblock, sailing, swl, sheave, handling",{'product': 14},{'morfblock': 14}
8,powerfurl,10,10,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"integrator, powerfurl, tdis, integrators, lashing, 5t, 5t swl, furling performance, swl, swl integrator",{'product': 10},{'powerfurl': 10}
6,powerfurl,9,9,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"fork, fitting, powerfurl fork, fork fitting, powerfurl, 10t, 10t swl, fork titanium, fork fork, detachable",{'product': 9},{'powerfurl': 9}
