semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts
11,other,61,23,0,5,21,429,22,1.51,FRAGMENTED_TOPIC,"custom, morfrac, shackle, morfblock, snatch, high performance, high, morfwing, titanium, mreel","{'product': 23, 'authority_content': 21, 'general': 12, 'landing': 5}","{'other': 15, 'powerfurl': 8, 'morfblock': 8, 'custom_engineering': 6, 'shackle': 6, 'morfwing': 5, 'mloop': 4, 'mreel': 4, 'dogbone': 3, 'morfring': 1, 'hoistlock': 1}"
8,powerfurl,40,0,40,0,0,0,0,0.0,FRAGMENTED_TOPIC,"shop, morfrac shop, shop morfrac, powerfurl, morfrac, shop powerfurl, powerfurl morfrac, tdi, shop morfblock, morfblock",{'category': 40},"{'powerfurl': 16, 'other': 9, 'morfblock': 5, 'dogbone': 3, 'shackle': 2, 'custom_engineering': 1, 'mloop': 1, 'morfring': 1, 'mreel': 1, 'padeye': 1}"
2,morfblock,38,36,2,0,0,0,0,0.0,FRAGMENTED_TOPIC,"morfblock light, sailing block, light, morfblock, sailing, block, lightweight sailing, swl, lightweight, high","{'product': 36, 'category': 2}",{'morfblock': 38}
0,dogbone,24,24,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"dogbone, length, morfrac dogbone, aluminium, total length, total, length morfrac, morfrac, 60mm, aluminium dogbone",{'product': 24},{'dogbone': 24}
4,powerfurl,21,21,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"5t swl, 5t, powerfurl, kit, furling, swl, furling kit, swl morfrac, morfrac powerfurl, shackle",{'product': 21},"{'powerfurl': 15, 'shackle': 6}"
9,powerfurl,21,21,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"powerfurl, 10t swl, 10t, furling, unit, drum, fork, swl, swl furling, powerfurl drum",{'product': 21},{'powerfurl': 21}
6,morfring,13,12,0,1,0,0,0,0.0,OK,"morfring, friction, ptfe, friction ring, ring, aluminium friction, aluminium, morfrac morfring, groove, groove max","{'product': 12, 'landing': 1}",{'morfring': 13}
3,padeye,9,8,0,1,0,286,4,9.38,OK,"padeye, stick, deck, morfrac padeye, stick padeye, 20, deck padeye, ring, padeye ring, ring 20","{'product': 8, 'landing': 1}",{'padeye': 9}
1,powerfurl,5,5,0,0,0,0,0,0.0,OK,"kit, furling, furling kit, line furling, continuous, continuous line, line, swl continuous, offshore durability, handling offshore",{'product': 5},{'powerfurl': 5}
5,morfblock,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"xl, morfblock xl, xl sailing, sailing block, block, morfblock, sailing, swl, sheave, handling",{'product': 14},{'morfblock': 14}
10,morfblock,8,8,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"wood, wooden sailing, wooden, morfblock wood, high load, sailing block, block, morfblock, swl wooden, sailing",{'product': 8},{'morfblock': 8}
7,dogbone,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"faced, flat faced, flat, dogbone flat, faced titanium, dogbone, morfrac dogbone, titanium, titanium morfrac, titanium dogbone",{'product': 6},{'dogbone': 6}
