semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts
3,other,49,11,0,5,21,582,15,3.6,FRAGMENTED_TOPIC,"custom, morfrac, morfblock, snatch, morfwing, high performance, hardware, 2024, performance, sail","{'authority_content': 21, 'general': 12, 'product': 11, 'landing': 5}","{'other': 12, 'powerfurl': 8, 'morfblock': 8, 'custom_engineering': 6, 'morfwing': 5, 'mloop': 4, 'dogbone': 3, 'morfring': 2, 'hoistlock': 1}"
1,powerfurl,44,44,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"powerfurl, furling, swl, 5t swl, 5t, kit, 10t, 10t swl, morfrac powerfurl, reliable",{'product': 44},"{'powerfurl': 41, 'shackle': 3}"
4,powerfurl,40,0,40,0,0,0,0,0.0,FRAGMENTED_TOPIC,"shop, morfrac shop, shop morfrac, powerfurl, morfrac, shop powerfurl, powerfurl morfrac, tdi, shop morfblock, morfblock",{'category': 40},"{'powerfurl': 16, 'other': 9, 'morfblock': 5, 'dogbone': 3, 'shackle': 2, 'custom_engineering': 1, 'mloop': 1, 'morfring': 1, 'mreel': 1, 'padeye': 1}"
2,morfblock,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"morfblock light, light, lightweight sailing, sailing block, block, sailing, morfblock, swl, lightweight, high",{'product': 30},{'morfblock': 30}
6,morfblock,22,22,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"xl, sailing block, morfblock xl, block, xl sailing, morfblock, wood, sailing, swl, high load",{'product': 22},{'morfblock': 22}
11,shackle,10,9,0,1,0,0,0,0.0,OK,"shackle, ti shackle, ti, titanium shackle, titanium, ø6mm, machined, cnc, cnc machined, ultra","{'product': 9, 'landing': 1}",{'shackle': 10}
8,padeye,9,8,0,1,0,0,0,0.0,OK,"padeye, stick, deck, morfrac padeye, stick padeye, 20, ring, deck padeye, ring 20, padeye ring","{'product': 8, 'landing': 1}",{'padeye': 9}
9,morfblock,8,6,2,0,0,0,0,0.0,OK,"morfblock max, max, morfblock, sailing, efficiency, sailing block, maximum reliability, block, efficiency sailing, max lightweight","{'product': 6, 'category': 2}",{'morfblock': 8}
5,dogbone,20,20,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"dogbone, length, morfrac dogbone, aluminium, 60mm, total length, total, length morfrac, morfrac, dogbone aluminium",{'product': 20},{'dogbone': 20}
0,morfring,12,12,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"friction, ptfe, ring, friction ring, morfring, aluminium friction, aluminium, groove, groove max, morfrac morfring",{'product': 12},{'morfring': 12}
10,dogbone,8,8,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"rope reeler, reeler, mreel, dogbone, mreel rope, rope, length, morfrac dogbone, reeler morfrac, morfrac mreel",{'product': 8},"{'dogbone': 4, 'mreel': 4}"
7,dogbone,6,6,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"faced, flat, flat faced, faced titanium, dogbone flat, dogbone, morfrac dogbone, titanium, titanium morfrac, titanium dogbone",{'product': 6},{'dogbone': 6}
