semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts
2,morfblock,54,21,2,2,17,124,18,0.57,FRAGMENTED_TOPIC,"custom, morfblock, morfblock max, morfrac, max, sailing, performance, high, block, snatch","{'product': 21, 'authority_content': 17, 'general': 12, 'landing': 2, 'category': 2}","{'morfblock': 16, 'other': 12, 'powerfurl': 8, 'custom_engineering': 6, 'mloop': 4, 'mreel': 4, 'dogbone': 2, 'morfring': 1, 'hoistlock': 1}"
7,powerfurl,38,0,38,0,0,0,0,0.0,FRAGMENTED_TOPIC,"shop, morfrac shop, shop morfrac, powerfurl, morfrac, shop powerfurl, powerfurl morfrac, tdi, shop morfblock, morfblock",{'category': 38},"{'powerfurl': 16, 'other': 9, 'morfblock': 5, 'dogbone': 3, 'custom_engineering': 1, 'mloop': 1, 'morfring': 1, 'mreel': 1, 'padeye': 1}"
9,dogbone,31,30,0,1,0,560,3,3.41,FRAGMENTED_TOPIC,"dogbone, morfrac dogbone, length, aluminium, morfrac, length morfrac, total length, total, titanium, faced","{'product': 30, 'landing': 1}",{'dogbone': 31}
0,morfblock,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"morfblock light, light, lightweight sailing, sailing block, block, sailing, morfblock, swl, lightweight, high",{'product': 30},{'morfblock': 30}
5,powerfurl,24,24,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"kit, furling, powerfurl, 5t, 5t swl, furling kit, swl, swl morfrac, morfrac powerfurl, powerfurl kit",{'product': 24},"{'powerfurl': 21, 'shackle': 3}"
10,morfring,13,12,0,1,0,0,0,0.0,OK,"morfring, friction, ptfe, friction ring, ring, aluminium friction, aluminium, morfrac morfring, groove, groove max","{'product': 12, 'landing': 1}",{'morfring': 13}
11,morfblock,13,8,0,1,4,0,0,0.0,OK,"wood, wooden, wooden sailing, morfblock wood, morfwing, high load, sailing block, block, sailing, morfblock","{'product': 8, 'authority_content': 4, 'landing': 1}","{'morfblock': 8, 'morfwing': 5}"
6,shackle,12,9,2,1,0,0,0,0.0,OK,"shackle, ti shackle, ti, titanium shackle, titanium, shackle morfrac, ø6mm, machined, cnc machined, cnc","{'product': 9, 'category': 2, 'landing': 1}",{'shackle': 12}
4,padeye,9,8,0,1,0,0,0,0.0,OK,"padeye, stick, deck, morfrac padeye, stick padeye, 20, ring, deck padeye, padeye ring, ring 20","{'product': 8, 'landing': 1}",{'padeye': 9}
3,morfblock,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"xl, morfblock xl, xl sailing, sailing block, block, morfblock, sailing, swl, sheave, handling",{'product': 14},{'morfblock': 14}
8,powerfurl,13,13,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"unit, drum, powerfurl, furling, powerfurl drum, unit powerfurl, unit morfrac, furling unit, powerfurl engineered, swl",{'product': 13},{'powerfurl': 13}
1,powerfurl,9,9,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"fork, 10t swl, 10t, powerfurl fork, fitting, powerfurl, fork fitting, swl, integrators, tdis",{'product': 9},{'powerfurl': 9}
