semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts
8,other,43,11,0,3,18,0,0,0.0,FRAGMENTED_TOPIC,"custom, morfrac, morfwing, new, car, 2024, morfblock, high performance, hardware, sail","{'authority_content': 18, 'general': 11, 'product': 11, 'landing': 3}","{'other': 15, 'powerfurl': 6, 'custom_engineering': 5, 'morfblock': 5, 'morfwing': 5, 'mloop': 4, 'dogbone': 2, 'hoistlock': 1}"
4,powerfurl,39,0,39,0,0,0,0,0.0,FRAGMENTED_TOPIC,"shop, morfrac shop, shop morfrac, powerfurl, morfrac, shop powerfurl, powerfurl morfrac, tdi, shop morfblock, morfblock",{'category': 39},"{'powerfurl': 16, 'other': 9, 'morfblock': 4, 'dogbone': 3, 'shackle': 2, 'custom_engineering': 1, 'mloop': 1, 'morfring': 1, 'mreel': 1, 'padeye': 1}"
0,morfblock,38,38,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"morfblock light, light, sailing block, block, morfblock, sailing, swl, lightweight sailing, high, lightweight",{'product': 38},{'morfblock': 38}
6,dogbone,31,30,0,1,0,414,3,2.97,FRAGMENTED_TOPIC,"dogbone, morfrac dogbone, length, aluminium, morfrac, total length, total, length morfrac, titanium, flat","{'product': 30, 'landing': 1}",{'dogbone': 31}
1,powerfurl,27,27,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"powerfurl, kit, furling, 5t, 5t swl, swl, furling kit, morfrac powerfurl, swl morfrac, reliable",{'product': 27},"{'powerfurl': 24, 'shackle': 3}"
5,morfring,22,20,0,2,0,143,1,4.07,FRAGMENTED_TOPIC,"padeye, ring, friction, friction ring, morfring, aluminium friction, ptfe, aluminium, stick, deck","{'product': 20, 'landing': 2}","{'morfring': 13, 'padeye': 9}"
10,shackle,9,8,0,1,0,0,0,0.0,OK,"shackle, ti shackle, ti, titanium shackle, titanium, machined, cnc machined, cnc, ultra, grade","{'product': 8, 'landing': 1}",{'shackle': 9}
2,morfblock,8,6,2,0,0,0,0,0.0,OK,"morfblock max, max, morfblock, sailing, efficiency, sailing block, maximum reliability, block, efficiency sailing, max lightweight","{'product': 6, 'category': 2}",{'morfblock': 8}
3,morfblock,7,3,1,0,3,0,0,0.0,OK,"snatch, morfblock snatch, custom, morfblock, morfring snatch, morfrac custom, cunningham, cunningham furler, solutions, precision","{'authority_content': 3, 'product': 3, 'category': 1}","{'morfblock': 4, 'powerfurl': 1, 'custom_engineering': 1, 'morfring': 1}"
9,mreel,5,4,0,0,0,0,0,0.0,OK,"mreel, reeler, rope reeler, mreel rope, rope, morfrac mreel, reeler morfrac, safer, manoeuvres, sheets halyards","{'product': 4, 'general': 1}","{'mreel': 4, 'powerfurl': 1}"
7,powerfurl,15,15,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"powerfurl, unit, furling, drum, 10t swl, 10t, swl, powerfurl drum, furling unit, unit powerfurl",{'product': 15},{'powerfurl': 15}
11,morfblock,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"xl, morfblock xl, xl sailing, sailing block, block, morfblock, sailing, swl, sheave, handling",{'product': 14},{'morfblock': 14}
