semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts
8,other,49,11,2,4,20,794,26,3.74,FRAGMENTED_TOPIC,"custom, morfrac, morfblock, snatch, morfwing, high performance, hardware, 2024, performance, sail","{'authority_content': 20, 'general': 12, 'product': 11, 'landing': 4, 'category': 2}","{'other': 13, 'powerfurl': 8, 'morfblock': 8, 'custom_engineering': 5, 'morfwing': 5, 'mloop': 4, 'dogbone': 3, 'padeye': 1, 'morfring': 1, 'hoistlock': 1}"
3,morfblock,44,44,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"sailing block, sailing, block, morfblock, morfblock light, light, swl, lightweight sailing, high, lightweight",{'product': 44},{'morfblock': 44}
2,powerfurl,40,0,40,0,0,0,0,0.0,FRAGMENTED_TOPIC,"shop, morfrac shop, shop morfrac, powerfurl, shop powerfurl, morfrac, powerfurl morfrac, shop shop, morfblock, shop morfblock",{'category': 40},"{'powerfurl': 16, 'morfblock': 10, 'other': 6, 'dogbone': 3, 'custom_engineering': 1, 'mloop': 1, 'morfring': 1, 'mreel': 1, 'padeye': 1}"
4,dogbone,24,24,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"dogbone, length, morfrac dogbone, aluminium, total length, total, length morfrac, morfrac, 60mm, aluminium dogbone",{'product': 24},{'dogbone': 24}
1,powerfurl,22,22,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"kit, furling, powerfurl, 5t, 5t swl, furling kit, swl, swl morfrac, morfrac powerfurl, reliable",{'product': 22},"{'powerfurl': 19, 'shackle': 3}"
5,morfring,13,12,0,1,0,0,0,0.0,OK,"friction, morfring, ptfe, ring, friction ring, aluminium friction, aluminium, morfrac morfring, groove max, groove","{'product': 12, 'landing': 1}",{'morfring': 13}
7,shackle,11,8,2,1,0,0,0,0.0,OK,"shackle, ti shackle, ti, titanium shackle, shackle morfrac, titanium, cnc machined, machined, cnc, grade titanium","{'product': 8, 'category': 2, 'landing': 1}",{'shackle': 11}
10,padeye,10,8,0,1,1,0,0,0.0,OK,"padeye, stick, deck, morfrac padeye, stick padeye, 20, ring, deck padeye, padeye ring, ring 20","{'product': 8, 'landing': 1, 'authority_content': 1}",{'padeye': 10}
0,morfblock,14,14,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"xl, morfblock xl, xl sailing, sailing block, block, morfblock, sailing, swl, sheave, handling",{'product': 14},{'morfblock': 14}
6,powerfurl,12,12,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"unit, powerfurl, drum, furling, powerfurl drum, unit powerfurl, unit morfrac, furling unit, powerfurl engineered, swl",{'product': 12},{'powerfurl': 12}
9,dogbone,10,10,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"flat, flat faced, faced, dogbone flat, faced titanium, dogbone, rope reeler, reeler, mreel, rope",{'product': 10},"{'dogbone': 6, 'mreel': 4}"
11,powerfurl,9,9,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"fork, 10t, 10t swl, powerfurl fork, fitting, powerfurl, fork fitting, swl, tdis, integrators",{'product': 9},{'powerfurl': 9}
