url_a,role_a,label_a,cluster_a,url_b,role_b,label_b,cluster_b,similarity_score,risk_type
https://www.morfrac.com/shop/mloop-dyneema-loop-12675,product,mloop,8,https://www.morfrac.com/es/shop/mloop-dyneema-loop-12675,product,mloop,8,1.0,likely_cannibalization
https://www.morfrac.com/shop/mloop-dyneema-loop-12675,product,mloop,8,https://www.morfrac.com/es/shop/mloop-34/mloop-dyneema-loop-12675,product,mloop,8,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/morfblock-morfblockmax-38/morfblock-max-3t-sailing-block-12859,product,morfblock,1,https://www.morfrac.com/es/shop/morfblock-morfblockmax-38/morfblock-max-9t-sailing-block-12885,product,morfblock,1,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/morfblock-morfblockmax-38/morfblock-max-3t-sailing-block-12859,product,morfblock,1,https://www.morfrac.com/es/shop/morfblock-morfblockmax-38/morfblock-max-7t-sailing-block-12884,product,morfblock,1,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/2,category,other,3,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/3,category,other,3,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/2,category,other,3,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/4,category,other,3,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/2,category,other,3,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/5,category,other,3,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/3,category,other,3,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/4,category,other,3,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/3,category,other,3,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/5,category,other,3,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/4,category,other,3,https://www.morfrac.com/es/shop/category/powerfurl-almacenadores-sin-fin-31/page/5,category,other,3,1.0,likely_cannibalization
https://www.morfrac.com/es/blog/tag/custom-9,authority_content,custom_engineering,4,https://www.morfrac.com/es/blog/tag/media-5,authority_content,custom_engineering,4,1.0,likely_cannibalization
https://www.morfrac.com/es/blog/tag/custom-9,authority_content,custom_engineering,4,https://www.morfrac.com/es/blog/tag/morfblock-1,authority_content,custom_engineering,4,1.0,likely_cannibalization
https://www.morfrac.com/es/blog/tag/custom-9,authority_content,custom_engineering,4,https://www.morfrac.com/es/blog/tag/morfrac-network-10,authority_content,custom_engineering,4,1.0,likely_cannibalization
https://www.morfrac.com/es/blog/tag/custom-9,authority_content,custom_engineering,4,https://www.morfrac.com/es/blog/tag/morfwing-13,authority_content,custom_engineering,4,1.0,likely_cannibalization
https://www.morfrac.com/es/blog/tag/custom-9,authority_content,custom_engineering,4,https://www.morfrac.com/es/blog/tag/news-2,authority_content,custom_engineering,4,1.0,likely_cannibalization
https://www.morfrac.com/es/blog/tag/custom-9,authority_content,custom_engineering,4,https://www.morfrac.com/es/blog/tag/on-board-6,authority_content,custom_engineering,4,1.0,likely_cannibalization
https://www.morfrac.com/es/blog/tag/custom-9,authority_content,custom_engineering,4,https://www.morfrac.com/es/blog/tag/partners-11,authority_content,custom_engineering,4,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/returns,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/shipping,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/terms-conditions,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/use,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/es/disclaimer,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/es/privacy,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/es/returns,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/es/shipping,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/es/terms-conditions,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/es/use,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,product,shackle,0,https://www.morfrac.com/shop/shackle-17-4ph-12827,product,shackle,0,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,product,shackle,0,https://www.morfrac.com/es/shop/outlet-36/shackle-17-4ph-12827,product,shackle,0,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/shackle-17-4ph-12827,product,shackle,0,https://www.morfrac.com/shop/outlet-36/shackle-17-4ph-12827,product,shackle,0,1.0,likely_cannibalization
https://www.morfrac.com/shop/morfblock-light-4-p-12338,product,morfblock,1,https://www.morfrac.com/es/shop/morfblock-light-04-performance-sailing-block-12338,product,morfblock,1,1.0,likely_cannibalization
https://www.morfrac.com/shop/morfblock-light-4-p-12338,product,morfblock,1,https://www.morfrac.com/shop/morfblock-light-04-performance-sailing-block-12338,product,morfblock,1,1.0,likely_cannibalization
https://www.morfrac.com/shop/morfblock-light-4-p-12338,product,morfblock,1,https://www.morfrac.com/es/shop/morfblock-17/morfblock-light-04-performance-sailing-block-12338,product,morfblock,1,1.0,likely_cannibalization
https://www.morfrac.com/blog,general,custom_engineering,4,https://www.morfrac.com/es/blog/page/2,authority_content,custom_engineering,4,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/category/morfblock-17,category,morfblock,3,https://www.morfrac.com/es/shop/category/morfblock-17/page/2,category,morfblock,3,1.0,likely_cannibalization
https://www.morfrac.com/es/shop/category/morfblock-17,category,morfblock,3,https://www.morfrac.com/es/shop/category/morfblock-17/page/3,category,morfblock,3,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/disclaimer,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/about,general,custom_engineering,5,https://www.morfrac.com/privacy,general,custom_engineering,5,1.0,likely_cannibalization
https://www.morfrac.com/cookie,general,other,11,https://www.morfrac.com/es/cookie,general,other,11,1.0,likely_cannibalization
https://www.morfrac.com/cookie,general,other,11,https://www.morfrac.com/solution,general,other,11,1.0,likely_cannibalization
https://www.morfrac.com/cookie,general,other,11,https://www.morfrac.com/es/solution,general,other,11,1.0,likely_cannibalization
https://www.morfrac.com/blog,general,custom_engineering,4,https://www.morfrac.com/es/blog,general,custom_engineering,4,1.0,likely_cannibalization
