semantic_cluster_id,dominant_label,page_count,product_pages,category_pages,landing_pages,authority_content_pages,total_impressions,total_clicks,avg_seo_priority_score,cluster_health,top_terms,role_counts,label_counts
4,morfblock,58,58,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"sailing block, block, sailing, morfblock, swl, morfblock light, light, high, xl, lightweight sailing",{'product': 58},{'morfblock': 58}
0,morfblock,36,11,0,4,11,616,2,2.79,FRAGMENTED_TOPIC,"custom, morfrac, snatch, morfblock, solutions, high performance, loop, performance, mloop, powerfurl","{'authority_content': 11, 'product': 11, 'general': 10, 'landing': 4}","{'morfblock': 8, 'other': 7, 'powerfurl': 6, 'custom_engineering': 5, 'mloop': 4, 'dogbone': 2, 'morfring': 2, 'padeye': 1, 'hoistlock': 1}"
3,dogbone,30,30,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"dogbone, morfrac dogbone, length, aluminium, morfrac, length morfrac, total length, total, titanium, faced",{'product': 30},{'dogbone': 30}
1,morfblock,28,0,27,0,0,0,0,0.0,FRAGMENTED_TOPIC,"shop, morfrac shop, shop morfrac, morfrac, morfblock, shop morfblock, tdi, dogbone, morfblock max, single line","{'category': 27, 'general': 1}","{'morfblock': 10, 'other': 8, 'dogbone': 4, 'custom_engineering': 1, 'mloop': 1, 'morfring': 1, 'mreel': 1, 'padeye': 1, 'powerfurl': 1}"
6,powerfurl,24,24,0,0,0,0,0,0.0,FRAGMENTED_TOPIC,"powerfurl, 5t swl, 5t, furling, kit, swl, morfrac powerfurl, furling kit, reliable, unit",{'product': 24},"{'powerfurl': 21, 'shackle': 3}"
10,powerfurl,15,0,15,0,0,0,0,0.0,OK,"shop, powerfurl, morfrac shop, shop powerfurl, powerfurl morfrac, shop shop, morfrac, shop morfrac, free, price",{'category': 15},{'powerfurl': 15}
9,shackle,11,8,2,1,0,0,0,0.0,OK,"shackle, ti shackle, ti, titanium shackle, shackle morfrac, titanium, cnc, machined, cnc machined, ultra","{'product': 8, 'category': 2, 'landing': 1}",{'shackle': 11}
5,morfwing,10,0,0,1,9,0,0,0.0,OK,"morfwing, 2024, year, introducing, new, wing, sail, 372, stand 01, stand","{'authority_content': 9, 'landing': 1}","{'morfwing': 5, 'other': 4, 'powerfurl': 1}"
7,padeye,10,8,0,1,1,0,0,0.0,OK,"padeye, stick, deck, morfrac padeye, stick padeye, 20, ring, deck padeye, padeye ring, ring 20","{'product': 8, 'landing': 1, 'authority_content': 1}",{'padeye': 10}
11,mreel,5,4,0,0,0,126,27,11.6,OK,"mreel, rope reeler, reeler, mreel rope, rope, reeler morfrac, morfrac mreel, halyards, sheets halyards, safer","{'product': 4, 'general': 1}","{'mreel': 4, 'powerfurl': 1}"
2,powerfurl,19,19,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"10t, 10t swl, powerfurl, furling, drum, fork, swl, powerfurl drum, powerfurl fork, fitting",{'product': 19},{'powerfurl': 19}
8,morfring,12,12,0,0,0,0,0,0.0,PRODUCT_HEAVY_NO_PILLAR,"friction, ptfe, ring, friction ring, morfring, aluminium friction, aluminium, groove, groove max, morfrac morfring",{'product': 12},{'morfring': 12}
